"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","26.4","68","","6.7","1","C "
"02-11-2023","25.4","75","0","5.8","1","C "
"03-11-2023","25","78","9.9","5.7","1","C "
"04-11-2023","25.9","74","4.3","4","0","C "
"05-11-2023","24.5","82","1","7.2","0","C "
"06-11-2023","25.9","73","1.9","1.9","1","C "
"07-11-2023","26.5","72","0","5.6","1","C "
"08-11-2023","26.9","71","0","5.2","0","C "
"09-11-2023","26.6","71","0","8.8","1","C "
"10-11-2023","26","72","","5.5","1","C "
"11-11-2023","24.2","85","8888","3.1","1","C "
"12-11-2023","23.6","85","63.3","3.2","0","C "
"13-11-2023","25.4","77","19.6","2.8","1","C "
"14-11-2023","25.1","80","2.7","4.9","1","C "
"15-11-2023","23.6","82","6.6","4.5","0","C "
"16-11-2023","24.5","78","0","0.7","1","C "
"17-11-2023","24.9","82","0.5","4.1","1","C "
"18-11-2023","25.1","77","10.3","3.7","0","C "
"19-11-2023","26","65","2","6.4","0","C "
"20-11-2023","26.1","71","","7.6","0","C "
"21-11-2023","25.5","77","4.2","6.1","0","C "
"22-11-2023","26.2","73","4.5","5.4","1","C "
"23-11-2023","24.8","78","8888","4.3","1","C "
"24-11-2023","24.6","81","0.2","0","0","C "
"25-11-2023","22.9","85","5.5","3","0","C "
"26-11-2023","23.7","80","7.2","0","0","C "
"27-11-2023","23.5","85","54.3","3.2","0","C "
"28-11-2023","22.6","90","7.7","0.3","0","C "
"29-11-2023","25.1","78","33.6","2.7","1","C "
"30-11-2023","24.3","84","","4.5","0","C "
"01-12-2023","22.3","88","31","2.9","0","C "
"02-12-2023","24.6","80","19.5","0.1","1","C "
"03-12-2023","23.5","85","0.8","5","0","C "
"04-12-2023","22","90","8","0.9","0","C "
"05-12-2023","23.4","84","5.7","0.5","1","C "
"06-12-2023","24.3","83","44.4","5.3","0","C "
"07-12-2023","26.1","76","8.4","4","0","C "
"08-12-2023","24.9","82","12.3","6.4","0","C "
"09-12-2023","24","84","0.3","2.3","0","C "
"10-12-2023","24","82","2","1.8","0","C "
"11-12-2023","25.4","78","4","3.1","1","C "
"12-12-2023","25.5","71","8.8","6.6","0","C "
"13-12-2023","26.3","69","0","5","1","C "
"14-12-2023","26.1","70","0.3","9","1","C "
"15-12-2023","26.9","65","5.7","8.7","1","C "
"16-12-2023","26.8","69","","8.7","1","C "
"17-12-2023","26.6","71","8888","9","1","C "
"18-12-2023","25.8","74","2.2","7.3","1","C "
"19-12-2023","26","62","9.9","5.6","0","C "
"20-12-2023","25.6","57","","9","1","C "
"21-12-2023","26.1","60","0","9.1","1","C "
"22-12-2023","26","67","","9","0","C "
"23-12-2023","25.6","76","0","6.3","0","C "
"24-12-2023","25.2","77","2","4.5","1","C "
"25-12-2023","23","88","57.7","4.8","0","C "
"26-12-2023","24.3","82","85","3","1","C "
"27-12-2023","24.3","82","8888","3.3","0","C "
"28-12-2023","24.9","79","1.7","3.5","0","C "
"29-12-2023","24.9","83","0.7","4.4","1","C "
"30-12-2023","24","88","53","5.9","0","C "
"31-12-2023","23.8","86","3","2","0","C "
