Tanggal,Tavg,RH_avg,RR
01-11-2023,28.7,75,0.5
02-11-2023,29.4,74,0
03-11-2023,29.2,75,1
04-11-2023,27.8,79,0
05-11-2023,27.2,82,20.2
06-11-2023,28.2,79,2.8
07-11-2023,29.9,68,0.3
08-11-2023,29.5,72,0
09-11-2023,29.6,68,0
10-11-2023,30,67,0
11-11-2023,27.7,80,8888
12-11-2023,28.2,77,2.5
13-11-2023,29.7,74,0
14-11-2023,27.6,86,0
15-11-2023,28.4,82,13.2
16-11-2023,29.7,74,13.5
17-11-2023,29.9,73,0
18-11-2023,29.9,72,0
19-11-2023,29.9,70,0
20-11-2023,28.6,76,0.8
21-11-2023,29.6,74,0
22-11-2023,29.9,72,0.5
23-11-2023,29.5,74,0
24-11-2023,28.6,82,0
25-11-2023,24.6,96,7.2
26-11-2023,27.7,80,63.6
27-11-2023,26.5,87,0
28-11-2023,28.4,77,8888
29-11-2023,27.7,85,8.5
30-11-2023,27.7,85,3.6
01-12-2023,26.9,88,9.6
02-12-2023,28.2,80,18.9
03-12-2023,28.2,79,7
04-12-2023,26.9,88,3.3
05-12-2023,29.3,76,8888
06-12-2023,28.8,79,0
07-12-2023,28.8,76,0.7
08-12-2023,29.1,74,0
09-12-2023,29,76,0
10-12-2023,28.9,77,8888
11-12-2023,29.4,72,0
12-12-2023,29,69,0
13-12-2023,29,70,
14-12-2023,29.4,67,0
15-12-2023,29,67,0
16-12-2023,29.2,64,0
17-12-2023,29.2,68,0
18-12-2023,29.2,66,0
19-12-2023,28.3,64,0
20-12-2023,28.2,58,0
21-12-2023,28.6,61,0
22-12-2023,29.2,64,0
23-12-2023,30.1,66,0
24-12-2023,29.5,74,0
25-12-2023,28.4,77,1.7
26-12-2023,28.3,81,5.4
27-12-2023,27.3,86,0.8
28-12-2023,29.2,76,12.9
29-12-2023,27.7,86,0
30-12-2023,28.7,80,17.5
31-12-2023,27.4,88,0
01-01-2024,28.5,82,39.5
02-01-2024,28.5,82,0
03-01-2024,27.4,87,0
04-01-2024,26.5,90,4.8
05-01-2024,27.7,85,35.7
06-01-2024,28.7,80,0.5
07-01-2024,26.6,87,0
08-01-2024,27.1,86,35.8
09-01-2024,28.2,78,0
10-01-2024,27.7,83,0
11-01-2024,27.1,86,11.2
12-01-2024,26.8,82,8.3
13-01-2024,28.4,77,0.5
14-01-2024,28.1,84,0
15-01-2024,28.4,80,6.4
16-01-2024,28.3,80,60.7
17-01-2024,27.6,86,1.1
18-01-2024,27,86,6.8
19-01-2024,25.5,90,49.5
20-01-2024,28.7,77,16.9
21-01-2024,26.7,88,12.2
22-01-2024,29.1,74,21.7
23-01-2024,28.4,80,2
24-01-2024,27.2,83,3.5
25-01-2024,28.9,76,1
26-01-2024,28.8,80,8888
27-01-2024,25.9,95,6.1
28-01-2024,27.4,84,8.7
29-01-2024,27.5,88,8
30-01-2024,27.5,84,18.4
31-01-2024,27.6,85,8.7
01-02-2024,27.1,90,0
02-02-2024,28.8,78,11.7
03-02-2024,25.8,93,3.6
04-02-2024,27.5,85,15.4
05-02-2024,27.2,88,8888
06-02-2024,25.6,91,4.1
07-02-2024,27.3,83,5.8
08-02-2024,28.7,77,9.9
09-02-2024,29.5,77,0
10-02-2024,28.7,79,8888
11-02-2024,29.4,76,0.2
12-02-2024,29.5,75,0.2
13-02-2024,29.4,78,6.7
14-02-2024,28.3,84,15.2
15-02-2024,27.1,88,8888
16-02-2024,27.4,89,45.2
17-02-2024,27.8,87,8.7
18-02-2024,27.9,82,1.1
19-02-2024,27.8,85,0
20-02-2024,29.3,80,1.1
21-02-2024,28.8,82,0
