Tanggal,Tavg,RH_avg,RR
01-11-2023,28.6,71,0
02-11-2023,29.3,70,0
03-11-2023,28.9,72,0
04-11-2023,28,77,8888
05-11-2023,27.3,81,6
06-11-2023,28.9,75,0
07-11-2023,29.6,71,0
08-11-2023,29.4,72,0
09-11-2023,29.1,71,0
10-11-2023,28.9,75,0
11-11-2023,28.5,76,3.4
12-11-2023,28.3,75,0
13-11-2023,29.7,71,11.5
14-11-2023,28.8,76,
15-11-2023,28.5,75,3.6
16-11-2023,29.5,69,0
17-11-2023,29.6,73,8888
18-11-2023,28.6,74,0
19-11-2023,29.4,74,
20-11-2023,29.2,72,10.8
21-11-2023,29.1,74,0
22-11-2023,29.6,72,26.4
23-11-2023,28,79,0
24-11-2023,28,82,
25-11-2023,25,95,3.4
26-11-2023,28.5,75,48
27-11-2023,27.1,82,0
28-11-2023,28.3,78,0
29-11-2023,28.1,80,27
30-11-2023,27.1,84,39.9
01-12-2023,26.3,89,1.5
02-12-2023,28.2,77,2.1
03-12-2023,27.6,80,0
04-12-2023,25.9,89,1.5
05-12-2023,28.4,76,0
06-12-2023,28.4,77,0
07-12-2023,28.5,79,0
08-12-2023,28.4,79,0
09-12-2023,28.2,79,8888
10-12-2023,28.4,78,0
11-12-2023,29,73,0
12-12-2023,28.7,74,0
13-12-2023,29.1,72,0
14-12-2023,29.3,69,0
15-12-2023,29.2,68,0
16-12-2023,29.2,66,0
17-12-2023,29.2,69,0
18-12-2023,29.5,67,0
19-12-2023,28.8,61,0
20-12-2023,28.7,57,0
21-12-2023,28.6,63,0
22-12-2023,28.5,68,0
23-12-2023,29.5,67,0
24-12-2023,29.7,70,0
25-12-2023,27.4,82,0
26-12-2023,27.5,80,4.7
27-12-2023,27.9,81,0
28-12-2023,28.9,77,1.8
29-12-2023,28.1,80,0
30-12-2023,27.9,82,9.6
31-12-2023,27.6,82,0
01-01-2024,28.7,80,1.8
02-01-2024,28.8,81,0
03-01-2024,27.1,87,0.8
04-01-2024,26.1,88,2
05-01-2024,27.6,80,84.9
06-01-2024,26.9,85,
07-01-2024,27,84,5.8
08-01-2024,27.1,81,8888
09-01-2024,28.3,76,8888
10-01-2024,28.1,80,0
11-01-2024,26.9,86,0
12-01-2024,27.3,79,4.5
13-01-2024,27.5,82,0
14-01-2024,28.1,81,64.4
15-01-2024,28.8,77,0
16-01-2024,28.9,74,0
17-01-2024,27.1,85,
18-01-2024,27.1,82,3.6
19-01-2024,25.3,90,55
20-01-2024,28.8,71,9.6
21-01-2024,27.2,82,0
22-01-2024,29,72,2.9
23-01-2024,28.7,74,0
24-01-2024,28.2,74,0
25-01-2024,29.1,73,0
26-01-2024,28.3,79,0
27-01-2024,25.1,93,12.7
28-01-2024,26.9,86,42.6
29-01-2024,26.7,88,5.6
30-01-2024,26.7,88,43.9
31-01-2024,27.1,84,44.9
01-02-2024,27.5,84,0.2
02-02-2024,28.6,78,3
03-02-2024,27.1,83,2.4
04-02-2024,26.8,86,0
05-02-2024,27.3,85,7.6
06-02-2024,25.5,88,0
07-02-2024,28,77,13.1
08-02-2024,28.2,78,8888
09-02-2024,28.9,78,0
10-02-2024,28,81,9.6
11-02-2024,28.3,80,0.4
12-02-2024,28,81,1.3
13-02-2024,28.4,83,38.6
14-02-2024,27.6,85,52
15-02-2024,28.4,85,0
16-02-2024,27.4,88,0
17-02-2024,27.8,86,47.7
18-02-2024,28.5,80,2.1
19-02-2024,28.4,82,
20-02-2024,29.1,81,1.8
21-02-2024,28.6,80,0
22-02-2024,30.2,71,0.7
23-02-2024,29.7,72,0
24-02-2024,28.3,80,
25-02-2024,28,79,0.4
26-02-2024,28,82,28.4
27-02-2024,28.1,80,0
28-02-2024,26.8,89,95
29-02-2024,25.9,91,10.6
01-03-2024,28.5,78,29.7
02-03-2024,27.5,84,0
03-03-2024,27.8,81,1
04-03-2024,28.9,75,0
05-03-2024,29.3,73,0.2
06-03-2024,28.9,77,0
07-03-2024,28.7,77,0
08-03-2024,28.5,76,
09-03-2024,24.9,93,8888
10-03-2024,27.3,87,30.9
11-03-2024,27.8,83,18.3
12-03-2024,28.1,79,8888
13-03-2024,28.1,81,3.8
14-03-2024,26.4,87,9.8
15-03-2024,26.7,84,33.9
16-03-2024,25.5,90,8.9
17-03-2024,26.6,84,29.6
18-03-2024,28.2,76,5.3
19-03-2024,28.8,69,8888
20-03-2024,29,68,0
21-03-2024,28,80,0
22-03-2024,25.5,92,125
23-03-2024,28.8,77,16.8
24-03-2024,29,79,8888
25-03-2024,28.3,79,0.2
26-03-2024,28.7,79,0
27-03-2024,26.9,85,1.8
28-03-2024,28.6,76,0
29-03-2024,28.4,78,
30-03-2024,28.6,83,0
31-03-2024,29.3,78,0.3
01-04-2024,28.4,79,8888
02-04-2024,28.7,80,0
03-04-2024,27.9,82,
04-04-2024,29.2,76,0
05-04-2024,29.1,79,0
06-04-2024,29.4,75,1.6
07-04-2024,29.5,76,0
08-04-2024,29.3,73,0
09-04-2024,27.6,82,0
10-04-2024,28.5,76,1.1
11-04-2024,28.4,80,0
