Tanggal,Tavg,RH_avg,RR
01-11-2023,31.5,68,
02-11-2023,31.9,67,
03-11-2023,31.6,66,
04-11-2023,31.3,70,
05-11-2023,28.5,83,35.5
06-11-2023,31.2,70,27.5
07-11-2023,31.8,68,
08-11-2023,31.9,69,
09-11-2023,31.9,68,
10-11-2023,31.3,71,
11-11-2023,30.7,73,18
12-11-2023,31.1,68,8888
13-11-2023,32.6,64,
14-11-2023,31.1,72,
15-11-2023,30.2,75,13.8
16-11-2023,31.8,68,1.2
17-11-2023,31.6,72,
18-11-2023,30.8,72,1.5
19-11-2023,32,70,2.5
20-11-2023,31.5,69,18.2
21-11-2023,32.3,68,
22-11-2023,31.7,67,1
23-11-2023,29.5,77,
24-11-2023,29.8,80,1.8
25-11-2023,25.9,93,20.5
26-11-2023,30.1,73,32
27-11-2023,28.1,83,
28-11-2023,30.3,73,10
29-11-2023,31.4,70,
30-11-2023,28.5,83,43.4
01-12-2023,27.1,88,1.4
02-12-2023,30.3,74,0.1
03-12-2023,29.3,77,1.3
04-12-2023,26.8,91,38.4
05-12-2023,30.3,73,1
06-12-2023,29.9,74,
07-12-2023,30.3,77,1.8
08-12-2023,28.7,84,
09-12-2023,29.6,78,71.5
10-12-2023,29.6,78,16.8
11-12-2023,31.2,70,
12-12-2023,30.9,74,
13-12-2023,31.3,69,3.4
14-12-2023,32.2,64,
15-12-2023,32.1,64,
16-12-2023,31.9,62,
17-12-2023,32,63,
18-12-2023,32.5,61,
19-12-2023,32.3,58,
20-12-2023,32.3,51,
21-12-2023,31.4,57,
22-12-2023,31.5,62,
23-12-2023,32.4,62,
24-12-2023,31.8,68,1.3
25-12-2023,28.4,84,2.6
26-12-2023,29.1,81,55.3
27-12-2023,29.7,79,
28-12-2023,30.8,74,10.5
29-12-2023,29.7,80,
30-12-2023,29.2,82,8.9
31-12-2023,29.6,78,7.2
01-01-2024,30.2,78,21
02-01-2024,30.5,77,
03-01-2024,27.9,86,10.7
04-01-2024,27,88,4.6
05-01-2024,28.5,81,53.8
06-01-2024,27.7,84,13.2
07-01-2024,27.3,86,75.2
08-01-2024,29,78,7
09-01-2024,30.3,73,8888
10-01-2024,28.9,81,0.3
11-01-2024,28.6,81,8888
12-01-2024,28.8,79,3.6
13-01-2024,28.6,81,
14-01-2024,29,83,46
15-01-2024,30.1,76,5.7
16-01-2024,30.8,67,8888
17-01-2024,28.2,87,
18-01-2024,28.6,79,16.5
19-01-2024,25.2,93,17.9
20-01-2024,31,68,16.3
21-01-2024,28.7,80,
22-01-2024,31,70,3.5
23-01-2024,30.4,73,
24-01-2024,29.9,73,
25-01-2024,31.1,72,
26-01-2024,30.5,73,
27-01-2024,25.8,93,6.8
28-01-2024,28.2,87,44.1
29-01-2024,27.8,87,10
30-01-2024,27.6,86,20.8
31-01-2024,28.2,84,53.5
01-02-2024,29.1,82,
02-02-2024,30.8,76,2
03-02-2024,28.1,84,0.6
04-02-2024,28.7,82,
05-02-2024,28.4,85,4.1
06-02-2024,26.5,90,32.8
07-02-2024,29.1,80,11.2
08-02-2024,30.5,75,
09-02-2024,30,81,
10-02-2024,28.7,84,12.8
11-02-2024,29.9,79,0.1
12-02-2024,29.6,79,13.3
13-02-2024,30.1,78,2.3
14-02-2024,28,87,105.6
15-02-2024,29.5,85,0.5
16-02-2024,28.8,87,
17-02-2024,28.7,85,
18-02-2024,29.5,82,0.9
19-02-2024,29.6,84,8888
20-02-2024,31,78,5.6
21-02-2024,29.7,84,
22-02-2024,31.8,75,2.8
23-02-2024,31.3,75,8888
24-02-2024,30.3,81,
25-02-2024,29.3,82,0.2
26-02-2024,29.4,80,5.8
27-02-2024,30.3,78,
28-02-2024,28,88,2.2
29-02-2024,25.8,94,9.6
01-03-2024,29.8,82,21.9
02-03-2024,28.2,90,42
03-03-2024,28.4,87,21.6
04-03-2024,29.8,80,8.8
05-03-2024,30.9,76,8888
06-03-2024,30.6,79,8888
07-03-2024,31.2,76,8888
08-03-2024,29.1,85,
09-03-2024,25.4,94,4.8
10-03-2024,27.4,92,10.3
11-03-2024,28.1,93,40.7
12-03-2024,29.3,89,0.2
13-03-2024,28.9,82,13.5
14-03-2024,27.4,91,2.2
15-03-2024,27,90,17.4
16-03-2024,26,93,11.2
17-03-2024,27,90,12.9
18-03-2024,29.7,82,1.9
19-03-2024,31.1,69,
20-03-2024,31.4,62,
21-03-2024,30.2,71,
22-03-2024,26,92,64.5
23-03-2024,30.6,72,56.2
24-03-2024,31,77,8.8
25-03-2024,29.4,81,2.8
26-03-2024,29.2,79,6
27-03-2024,28.7,83,19
28-03-2024,28.3,85,
29-03-2024,29.1,83,45
30-03-2024,29.2,84,17.3
31-03-2024,30.4,78,18
01-04-2024,28.8,82,0.4
02-04-2024,29.7,83,11
03-04-2024,28.8,86,5
04-04-2024,29.9,83,37.3
05-04-2024,28.5,88,8888
