"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","26.1","86","78.6","7.7","1","C "
"02-11-2023","26.9","84","68.9","6.5","1","C "
"03-11-2023","26.6","84","9.2","7","1","C "
"04-11-2023","26.1","87","74.2","7.9","1","C "
"05-11-2023","25.6","90","109","4","2","C "
"06-11-2023","27.8","81","14.7","3.4","0","C "
"07-11-2023","28.3","77","","8.3","0","C "
"08-11-2023","27.9","80","","7.8","2","C "
"09-11-2023","26.3","85","2.1","9.1","2","C "
"10-11-2023","27.4","81","72","6.1","1","C "
"11-11-2023","27","82","0.4","7.2","2","C "
"12-11-2023","26.1","85","8.3","7.2","2","C "
"13-11-2023","27.7","81","41","6.2","1","C "
"14-11-2023","26.5","86","19","7.8","2","C "
"15-11-2023","27.2","84","58.1","6.1","2","C "
"16-11-2023","26.6","84","7.7","4.8","1","C "
"17-11-2023","27.2","86","37.5","7.4","0","C "
"18-11-2023","26.9","84","39","5.5","1","C "
"19-11-2023","28.4","77","7","6.1","2","C "
"20-11-2023","28","80","0","9.2","2","C "
"21-11-2023","27.1","82","34.7","7.5","2","C "
"22-11-2023","27.4","82","68.4","7.4","1","C "
"23-11-2023","27.3","83","30.4","5.5","1","C "
"24-11-2023","26.7","87","","0","1","C "
"25-11-2023","24.8","91","52.9","4.8","1","C "
"26-11-2023","26.3","85","1.1","0","1","C "
"27-11-2023","26","88","83","6.2","1","C "
"28-11-2023","26.4","85","","0","1","C "
"29-11-2023","26.7","83","2.8","3.1","2","C "
"30-11-2023","26.1","89","148","7.2","1","C "
"01-12-2023","25.6","90","65.4","3.1","0","C "
"02-12-2023","27.1","83","8888","0","1","C "
"03-12-2023","26.4","85","3.5","6.4","1","C "
"04-12-2023","24.9","90","55.8","4","0","C "
"05-12-2023","26.9","80","8888","0","1","C "
"06-12-2023","26.6","85","27.5","7.2","2","C "
"07-12-2023","27.3","83","10.8","7.2","1","C "
"08-12-2023","27","87","27.7","5.7","1","C "
"09-12-2023","26.8","85","8","5.2","2","C "
"10-12-2023","27.3","83","31.4","3.7","1","C "
"11-12-2023","27.1","84","0.2","1.2","2","C "
