"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","33","60","0","","4","NE"
"02-11-2023","33","60","0","","3","NE"
"03-11-2023","32.9","59","2.3","","3","NE"
"04-11-2023","31.8","66","0","","4","E "
"05-11-2023","31","70","3","","5","E "
"06-11-2023","32.6","62","0","","5","NE"
"07-11-2023","32.4","64","0","","4","NE"
"08-11-2023","32.9","62","0","","3","NW"
"09-11-2023","31.4","66","0","","3","S "
"10-11-2023","32.4","63","0.4","","5","NE"
"11-11-2023","31.8","64","0.1","","5","E "
"12-11-2023","32","60","0","","6","S "
"13-11-2023","32.4","62","0","","5","NE"
"14-11-2023","31.8","64","0","","3","E "
"15-11-2023","30.7","63","0.4","","3","S "
"16-11-2023","31.9","62","0.2","","3","S "
"17-11-2023","31.9","66","0","","4","NE"
"18-11-2023","31.9","56","46.5","","4","S "
"19-11-2023","33","52","0","","6","S "
"20-11-2023","32.8","57","0","","7","S "
"21-11-2023","32.4","61","0","","6","E "
"22-11-2023","33","59","0","","6","NE"
"23-11-2023","30.4","72","0","","3","N "
"24-11-2023","30.2","73","0","","3","NE"
"25-11-2023","27.5","87","0","","2","SE"
"26-11-2023","29.7","72","16","","2","NE"
"27-11-2023","29.4","77","5","","2","W "
"28-11-2023","29.5","74","7.8","","3","S "
"29-11-2023","31.5","65","0","","3","NE"
"30-11-2023","31","70","0.8","","2","C "
"01-12-2023","26.1","91","1.2","","1","C "
"02-12-2023","30.8","69","29.7","","4","NE"
"03-12-2023","30.1","71","0","","3","C "
"04-12-2023","29.1","76","1","","4","E "
"05-12-2023","30.6","72","0","","4","NE"
"06-12-2023","29.2","79","30.7","","2","S "
"07-12-2023","30.1","77","","","2","NW"
"08-12-2023","30.7","71","23.8","","2","C "
"09-12-2023","30.2","73","0","","2","C "
"10-12-2023","29.9","76","","","2","C "
"11-12-2023","31.1","66","0.6","","3","S "
"12-12-2023","31.9","61","","","2","W "
"13-12-2023","32.7","58","","","3","NE"
"14-12-2023","32.4","62","0","","4","NE"
"15-12-2023","32.1","67","0","","4","N "
"16-12-2023","30.7","72","0","","3","NE"
"17-12-2023","31.7","66","0","","1","C "
"18-12-2023","31.4","70","0.5","","2","C "
"19-12-2023","30.7","68","2.8","","3","N "
"20-12-2023","31.4","63","1.6","","3","N "
"21-12-2023","31.4","64","0","","3","N "
"22-12-2023","31.8","64","0","","4","N "
