Tanggal,Tavg,RH_avg,RR
01-11-2023,33,60,0
02-11-2023,33,60,0
03-11-2023,32.9,59,2.3
04-11-2023,31.8,66,0
05-11-2023,31,70,3
06-11-2023,32.6,62,0
07-11-2023,32.4,64,0
08-11-2023,32.9,62,0
09-11-2023,31.4,66,0
10-11-2023,32.4,63,0.4
11-11-2023,31.8,64,0.1
12-11-2023,32,60,0
13-11-2023,32.4,62,0
14-11-2023,31.8,64,0
15-11-2023,30.7,63,0.4
16-11-2023,31.9,62,0.2
17-11-2023,31.9,66,0
18-11-2023,31.9,56,46.5
19-11-2023,33,52,0
20-11-2023,32.8,57,0
21-11-2023,32.4,61,0
22-11-2023,33,59,0
23-11-2023,30.4,72,0
24-11-2023,30.2,73,0
25-11-2023,27.5,87,0
26-11-2023,29.7,72,16
27-11-2023,29.4,77,5
28-11-2023,29.5,74,7.8
29-11-2023,31.5,65,0
30-11-2023,31,70,0.8
01-12-2023,26.1,91,1.2
02-12-2023,30.8,69,29.7
03-12-2023,30.1,71,0
04-12-2023,29.1,76,1
05-12-2023,30.6,72,0
06-12-2023,29.2,79,30.7
07-12-2023,30.1,77,
08-12-2023,30.7,71,23.8
09-12-2023,30.2,73,0
10-12-2023,29.9,76,
11-12-2023,31.1,66,0.6
12-12-2023,31.9,61,
13-12-2023,32.7,58,
14-12-2023,32.4,62,0
15-12-2023,32.1,67,0
16-12-2023,30.7,72,0
17-12-2023,31.7,66,0
18-12-2023,31.4,70,0.5
19-12-2023,30.7,68,2.8
20-12-2023,31.4,63,1.6
21-12-2023,31.4,64,0
22-12-2023,31.8,64,0
23-12-2023,32.2,62,0
24-12-2023,32.5,63,0
25-12-2023,28.2,82,0.2
26-12-2023,29.6,77,9.5
27-12-2023,31.2,69,0.2
28-12-2023,31.5,66,0
29-12-2023,31.5,71,0
30-12-2023,30.7,75,0.2
31-12-2023,29.4,81,12.7
01-01-2024,30.5,74,3.3
02-01-2024,30.6,78,31.6
03-01-2024,28.7,84,5.6
04-01-2024,27.8,86,1.5
05-01-2024,29.6,76,11.2
06-01-2024,30.4,74,0
07-01-2024,30,76,18
08-01-2024,29.8,79,4.7
09-01-2024,28.8,84,20.7
10-01-2024,28.5,82,34
11-01-2024,27.9,84,13
12-01-2024,30.6,72,22.2
13-01-2024,30.7,73,0
14-01-2024,30.4,74,0
15-01-2024,29.8,77,0
16-01-2024,28.6,84,19.5
17-01-2024,28.4,85,75.3
18-01-2024,29.2,83,10
19-01-2024,27.8,88,8.2
20-01-2024,29.6,79,1.3
21-01-2024,30.1,76,1
22-01-2024,28.5,86,8.5
23-01-2024,29.8,79,18.3
24-01-2024,27.7,86,2.8
25-01-2024,28.6,81,15.3
26-01-2024,28,87,61.7
27-01-2024,29.1,79,39
28-01-2024,29.1,80,2.3
29-01-2024,28.4,82,10.5
30-01-2024,29.8,75,0
31-01-2024,27.1,85,3.5
01-02-2024,27.5,86,43.7
02-02-2024,28.3,84,146.3
03-02-2024,28.6,78,1
04-02-2024,28,83,62.9
05-02-2024,28.8,80,22.5
06-02-2024,28,82,7
07-02-2024,27.7,82,4.5
08-02-2024,29.1,78,11
09-02-2024,30,79,3.8
10-02-2024,26.8,88,6.3
11-02-2024,28,81,8
12-02-2024,29,79,104.2
13-02-2024,30.6,75,0
14-02-2024,30,78,0
15-02-2024,30,81,0
16-02-2024,30.7,75,6.7
17-02-2024,29.3,79,8888
18-02-2024,29.2,80,0.7
19-02-2024,30.3,78,4.8
20-02-2024,30.6,76,
21-02-2024,29.2,81,14.9
22-02-2024,30.9,74,37.5
23-02-2024,30.1,79,0
24-02-2024,29.8,80,0
25-02-2024,29,80,5
