Tanggal,Tavg,RH_avg,RR
01-11-2023,31.5,66,0
02-11-2023,31.5,65,0
03-11-2023,31.5,63,0
04-11-2023,30.2,74,0
05-11-2023,29.7,75,8888
06-11-2023,31.5,67,8888
07-11-2023,31.4,68,8888
08-11-2023,31.6,67,0
09-11-2023,31.5,68,0
10-11-2023,30.7,69,8888
11-11-2023,29,76,0
12-11-2023,28.4,79,2.5
13-11-2023,30.3,73,7.5
14-11-2023,30,74,0
15-11-2023,29.4,73,8888
16-11-2023,30,71,8888
17-11-2023,29.4,76,8888
18-11-2023,30.9,63,13.6
19-11-2023,31.6,58,0
20-11-2023,31.4,64,0
21-11-2023,30.8,66,0
22-11-2023,31.6,63,8888
23-11-2023,27.9,84,0
24-11-2023,28.6,83,7.7
25-11-2023,26.1,91,1.5
26-11-2023,27.3,83,23.5
27-11-2023,28,84,48.2
28-11-2023,28.8,81,1.5
29-11-2023,29.9,74,0
30-11-2023,28.3,82,8888
01-12-2023,25.5,93,45.7
02-12-2023,27.7,83,51.5
03-12-2023,28.5,81,24.2
04-12-2023,26.3,89,0.6
05-12-2023,28.5,80,15.5
06-12-2023,28.1,83,13.5
07-12-2023,30,78,0.3
08-12-2023,29.3,76,8888
09-12-2023,29.7,74,0
10-12-2023,27.4,84,0
11-12-2023,28.9,78,9
12-12-2023,29.5,68,5
13-12-2023,30.3,66,0
14-12-2023,28.8,72,0.2
15-12-2023,30.2,69,21.5
16-12-2023,29.2,79,0
17-12-2023,28.7,79,14.5
18-12-2023,29.2,76,53
19-12-2023,28.1,77,4
20-12-2023,28.5,74,22.8
21-12-2023,29.2,75,15.5
22-12-2023,30,71,0
23-12-2023,30.3,69,0
24-12-2023,30.1,72,0
25-12-2023,26.8,86,0
26-12-2023,27.2,84,43.9
27-12-2023,28.8,78,27.3
28-12-2023,29.2,78,8888
29-12-2023,29.2,82,0
30-12-2023,28.5,84,0
31-12-2023,28,87,3
01-01-2024,28.4,87,5.1
02-01-2024,28.5,89,18
03-01-2024,27.7,91,36.2
04-01-2024,26.3,94,8888
05-01-2024,28.1,83,3.5
06-01-2024,28,84,0.7
07-01-2024,27.3,87,12.7
08-01-2024,28,89,25.5
09-01-2024,28.2,86,6.5
10-01-2024,26.8,88,8888
11-01-2024,27,89,36.1
12-01-2024,28.8,81,13.8
13-01-2024,28.6,82,2.5
14-01-2024,28.6,81,35.5
15-01-2024,28.6,84,0
16-01-2024,28.2,86,0
17-01-2024,28,86,11
18-01-2024,28,87,8888
19-01-2024,26.7,91,32.5
20-01-2024,28.6,80,0.3
21-01-2024,28.9,80,8888
22-01-2024,28.1,87,0
23-01-2024,28.7,81,7.5
24-01-2024,27.1,88,8888
25-01-2024,27.2,86,5.4
26-01-2024,28.3,87,38.5
27-01-2024,28.2,86,4.5
28-01-2024,28,86,1
29-01-2024,27.6,88,1
30-01-2024,28,86,2.1
31-01-2024,25.6,91,4.8
01-02-2024,26.9,88,60.3
02-02-2024,26.9,90,60.7
03-02-2024,26.9,88,2
04-02-2024,27.1,89,12.2
05-02-2024,26.9,88,11.8
06-02-2024,26.5,88,6.5
07-02-2024,26.9,87,1
08-02-2024,28,85,0.2
