Tanggal,Tavg,RH_avg,RR
01-11-2023,29.8,72,8
02-11-2023,30.3,71,0
03-11-2023,30.2,70,0
04-11-2023,28.2,80,
05-11-2023,28.7,80,28
06-11-2023,30.1,75,0
07-11-2023,30.4,71,0
08-11-2023,30.4,72,
09-11-2023,30,72,0
10-11-2023,29.2,79,0
11-11-2023,29.3,76,4.5
12-11-2023,30.1,71,0
13-11-2023,31.2,67,
14-11-2023,29.7,76,8888
15-11-2023,29.6,74,39
16-11-2023,29.7,74,
17-11-2023,29.8,75,11
18-11-2023,29.2,76,0.4
19-11-2023,29.6,78,1
20-11-2023,30.4,69,4
21-11-2023,30.2,72,0
22-11-2023,30,73,15
23-11-2023,29.2,78,3.1
24-11-2023,28.6,82,0
25-11-2023,26.1,89,3.5
26-11-2023,29.1,75,18.1
27-11-2023,28.2,78,
28-11-2023,29.5,73,
29-11-2023,29.8,76,2.5
30-11-2023,28.3,80,18.1
01-12-2023,26.9,87,3
02-12-2023,29.4,74,1.1
03-12-2023,28.6,78,
04-12-2023,26.7,86,2.3
05-12-2023,29.4,74,1.4
06-12-2023,29.4,74,
07-12-2023,29.2,79,0
08-12-2023,29.4,76,0
09-12-2023,29.1,76,0
10-12-2023,29.2,77,0
11-12-2023,30,72,0
12-12-2023,29.7,71,0
13-12-2023,30.1,70,0
14-12-2023,30.6,69,0
15-12-2023,30.4,65,
16-12-2023,30.3,64,0
17-12-2023,30.6,65,0
18-12-2023,30.7,66,0
19-12-2023,30.3,62,
20-12-2023,30.3,56,
21-12-2023,29.9,62,0
22-12-2023,30.1,65,
23-12-2023,31,65,
24-12-2023,30.6,70,0
25-12-2023,28.3,80,0
26-12-2023,28.4,80,36
27-12-2023,28.7,80,0
28-12-2023,29.9,76,2.5
29-12-2023,29.3,79,
30-12-2023,29.2,79,2
31-12-2023,28.3,80,0
01-01-2024,29.6,77,1.8
02-01-2024,29.7,78,0
03-01-2024,28,84,2.5
04-01-2024,27.1,87,8.5
05-01-2024,28.1,80,30.8
06-01-2024,27.8,83,1
07-01-2024,28.1,80,1.3
08-01-2024,28.3,79,
09-01-2024,29.2,76,
10-01-2024,29.2,76,
11-01-2024,27.3,87,0
12-01-2024,28.6,75,42
13-01-2024,28.4,80,0
14-01-2024,29.5,76,2.4
15-01-2024,29.4,74,
16-01-2024,30.2,69,0
17-01-2024,28.4,80,
18-01-2024,28.2,79,1.5
19-01-2024,26.4,85,7.7
20-01-2024,30.5,64,11
21-01-2024,28.8,76,
22-01-2024,30.4,66,7
23-01-2024,30.1,68,
24-01-2024,30.2,67,
25-01-2024,30.1,72,0
26-01-2024,29.1,78,0
27-01-2024,26.3,90,14
28-01-2024,27.4,85,28
29-01-2024,27.2,88,24
30-01-2024,26.9,88,17.6
31-01-2024,27.9,81,110.5
01-02-2024,27.8,83,8888
02-02-2024,28.2,81,20.1
03-02-2024,28.1,79,20.3
04-02-2024,28,81,
05-02-2024,27.9,84,14
06-02-2024,26.4,86,6.8
07-02-2024,28.9,75,14.8
08-02-2024,29.3,76,
09-02-2024,29,79,
10-02-2024,28.6,79,102
11-02-2024,28.8,78,0
12-02-2024,28.6,81,5.8
13-02-2024,28.6,80,3
14-02-2024,27.6,85,140.9
15-02-2024,28.5,85,3
16-02-2024,28.1,85,7.5
17-02-2024,28.3,82,18.4
18-02-2024,28.6,80,0
19-02-2024,29.5,78,0
20-02-2024,29.8,78,
21-02-2024,29.5,77,0.2
22-02-2024,30.6,74,0
23-02-2024,30.3,72,3.2
24-02-2024,28.9,80,
25-02-2024,28.4,81,5.7
26-02-2024,28.7,79,20.8
27-02-2024,29.1,78,0
28-02-2024,27.6,88,38.5
29-02-2024,26.1,92,75.5
01-03-2024,29.1,77,10
02-03-2024,27.7,86,
03-03-2024,27.7,86,17.7
04-03-2024,29.2,74,6.8
05-03-2024,30.2,71,1
06-03-2024,29.6,75,8888
07-03-2024,29.7,74,4
08-03-2024,29.2,75,0
09-03-2024,25.4,94,4.2
10-03-2024,27.9,86,47.7
11-03-2024,27.9,86,10.4
12-03-2024,28.8,79,16
13-03-2024,28.2,84,4.3
14-03-2024,27.2,86,24
15-03-2024,27.4,83,31.8
16-03-2024,26,91,6.5
17-03-2024,27,85,19
18-03-2024,29,77,21.7
19-03-2024,30.2,65,0.3
20-03-2024,30.4,63,
21-03-2024,29,77,0
22-03-2024,26.4,91,63.3
23-03-2024,29.8,75,3.8
24-03-2024,29.9,77,
25-03-2024,29.2,80,
26-03-2024,30.2,75,
27-03-2024,28.3,82,0.4
28-03-2024,29.3,77,
29-03-2024,29.8,75,0
30-03-2024,29.7,77,
31-03-2024,28.9,82,
01-04-2024,29.2,78,18.2
02-04-2024,29.5,77,1.2
03-04-2024,28.3,83,0
04-04-2024,30.2,75,5.6
05-04-2024,29.6,80,
06-04-2024,29.2,80,2.8
07-04-2024,30.1,76,
08-04-2024,30,72,
09-04-2024,28.6,81,
10-04-2024,28.7,78,8.7
11-04-2024,29,80,0.7
12-04-2024,27.7,86,39
13-04-2024,29.5,79,1
14-04-2024,28.9,80,8888
15-04-2024,30.1,75,1
16-04-2024,30.9,74,
17-04-2024,28.8,81,
18-04-2024,29.6,75,27.2
19-04-2024,29.5,76,0
20-04-2024,30.1,76,
21-04-2024,29.6,76,
22-04-2024,30.9,73,0
23-04-2024,29.8,77,0
24-04-2024,30,78,
25-04-2024,29,81,13
26-04-2024,30.2,77,0.4
27-04-2024,29.5,78,0
28-04-2024,30.2,78,2
29-04-2024,31.3,74,
30-04-2024,31,74,0
