Tanggal,Tavg,RH_avg,RR
01-11-2023,30.2,78,2.5
02-11-2023,30.8,77,0
03-11-2023,30.8,77,0
04-11-2023,28.9,83,0
05-11-2023,29.3,82,7.5
06-11-2023,30.3,79,0.2
07-11-2023,30.6,79,0
08-11-2023,30.8,78,0
09-11-2023,30.3,79,0
10-11-2023,29.6,82,0
11-11-2023,29.4,83,10.7
12-11-2023,30.2,80,0
13-11-2023,31.3,77,
14-11-2023,29.4,83,0
15-11-2023,29.9,82,31.2
16-11-2023,30,81,0
17-11-2023,30.3,82,29.5
18-11-2023,29.9,80,
19-11-2023,30.4,79,8888
20-11-2023,31.2,76,0
21-11-2023,30.4,80,0
22-11-2023,30.7,78,30.5
23-11-2023,29.6,84,
24-11-2023,28.6,86,0
25-11-2023,26.1,94,26
26-11-2023,29,84,35.5
27-11-2023,28.3,86,12
28-11-2023,29.5,82,
29-11-2023,29.3,84,0.2
30-11-2023,28.4,87,18.3
01-12-2023,27.2,90,3
02-12-2023,29.5,84,1.5
03-12-2023,28.8,85,
04-12-2023,27,88,2.3
05-12-2023,29.7,81,8888
06-12-2023,29.7,81,0
07-12-2023,29.4,82,0
08-12-2023,29.8,81,0
09-12-2023,29.2,84,0
10-12-2023,29.1,85,0
11-12-2023,30.4,80,0
12-12-2023,30.3,78,0
13-12-2023,30.6,79,0
14-12-2023,30.9,77,0
15-12-2023,30.8,73,0
16-12-2023,30.5,69,
17-12-2023,30.4,72,0
18-12-2023,30.7,72,0
19-12-2023,30.3,67,0
20-12-2023,30.2,66,0
21-12-2023,30.1,69,
22-12-2023,30,74,0
23-12-2023,31,72,0
24-12-2023,30.7,73,0
25-12-2023,29,80,
26-12-2023,28.8,82,0
27-12-2023,29.4,80,0
28-12-2023,30.4,78,0
29-12-2023,29.8,79,0
30-12-2023,29.7,79,8888
31-12-2023,29.1,80,0.2
01-01-2024,29.8,80,0.8
02-01-2024,30,81,
03-01-2024,27.9,87,4.1
04-01-2024,26.7,90,10.8
05-01-2024,28.3,83,78.4
06-01-2024,28.6,82,0.8
07-01-2024,28.5,81,8888
08-01-2024,28.7,80,0
09-01-2024,29.4,80,8888
10-01-2024,29.5,79,0
11-01-2024,28.1,84,0
12-01-2024,29,78,12.8
13-01-2024,28.4,84,0
14-01-2024,29.5,81,10.5
15-01-2024,29.6,79,0
16-01-2024,30,77,0
17-01-2024,28.5,83,0
18-01-2024,28.4,82,13.8
19-01-2024,26.3,88,5.2
20-01-2024,30.5,69,7.8
21-01-2024,28.6,80,0
