Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,27.9,62,3.5,6.8,3,S 
02-11-2023,28.8,55,0,7.6,3,NE
03-11-2023,25.5,80,0,8.8,1,C 
04-11-2023,24.9,84,56.5,5.3,2,W 
05-11-2023,27.2,65,62.8,5.2,2,C 
06-11-2023,27.4,64,,7,2,S 
07-11-2023,26.9,71,,8.8,2,S 
08-11-2023,28.3,62,0,7.6,2,C 
09-11-2023,26.2,75,0,10.2,1,C 
10-11-2023,25.4,78,22.2,6.2,2,C 
11-11-2023,25.9,75,23.4,5.2,2,SW
12-11-2023,26.3,72,0,7.6,2,S 
13-11-2023,26.8,72,0,6.3,2,C 
14-11-2023,26.1,78,,7.6,1,C 
15-11-2023,25.5,82,35.8,6.8,2,C 
16-11-2023,26.9,73,35,4.8,2,SW
17-11-2023,26.7,70,0,7.3,2,S 
18-11-2023,26.5,69,0,9.2,3,SW
19-11-2023,27.1,68,0,9.2,3,SW
20-11-2023,27.6,69,0,9.4,3,S 
21-11-2023,27,74,0,8.4,2,S 
22-11-2023,27.4,72,2.8,8,2,S 
23-11-2023,27.7,68,0,6.8,2,S 
24-11-2023,26.3,76,8888,4.9,1,C 
25-11-2023,25.6,78,,2.3,1,C 
26-11-2023,26.4,73,18.7,3.8,2,S 
27-11-2023,25.4,78,,7.8,1,C 
28-11-2023,24.3,87,29.5,4.1,1,C 
29-11-2023,25.4,81,6.6,0.1,1,C 
30-11-2023,25.2,82,8888,2.6,1,C 
01-12-2023,24.6,85,29.8,5.5,2,S 
02-12-2023,25,85,5.8,1.8,1,S 
03-12-2023,25.4,82,2.1,0,1,C 
04-12-2023,25.1,82,70.9,6,2,C 
05-12-2023,25.6,81,19.6,4.6,1,S 
06-12-2023,26,76,7.7,7.8,1,S 
07-12-2023,26.6,74,3,6.5,2,S 
08-12-2023,25.7,84,19.9,9.5,2,S 
09-12-2023,25.9,78,8.8,4.2,1,C 
10-12-2023,25.8,79,2.1,1.2,2,S 
11-12-2023,26.3,70,0,3.2,2,S 
12-12-2023,27.1,72,0,7.6,2,S 
13-12-2023,25.4,81,0,9.4,1,C 
14-12-2023,25.5,79,8,5.8,1,C 
15-12-2023,24.1,82,0.4,1.7,2,C 
16-12-2023,27,72,4.8,4.2,2,S 
17-12-2023,26.2,73,,9.7,2,S 
18-12-2023,26.3,69,0,10,2,S 
19-12-2023,25.8,64,0,10,3,S 
20-12-2023,25.7,65,,11.1,3,S 
21-12-2023,26.4,66,,9,2,S 
22-12-2023,26.7,68,,9.2,2,S 
23-12-2023,27.2,62,1.2,7.1,2,S 
24-12-2023,27.8,61,,9.2,2,SE
25-12-2023,25.6,74,0,8.6,1,C 
26-12-2023,25.5,82,13,4,1,C 
27-12-2023,25.9,78,25.3,5.5,1,C 
28-12-2023,25.4,86,29.3,4.5,1,C 
29-12-2023,27.1,79,27.5,5.4,2,S 
30-12-2023,26.1,82,1.4,8.7,2,C 
31-12-2023,26.6,81,34,4,2,S 
01-01-2024,27.1,78,8.6,6.4,2,C 
02-01-2024,27.1,77,0,6.1,1,C 
03-01-2024,26.4,79,0,6.5,3,C 
04-01-2024,26.1,77,,4.6,2,C 
05-01-2024,25.2,83,0,5.1,1,C 
06-01-2024,25.1,84,7.8,4.8,1,C 
07-01-2024,25,84,6.3,0.9,2,C 
08-01-2024,25.6,82,5.9,1.8,1,C 
09-01-2024,25.9,81,0,2.6,1,C 
10-01-2024,26.4,77,2.6,6,2,C 
11-01-2024,27.4,71,0,6.5,2,E 
12-01-2024,25.8,75,0,8.6,3,S 
13-01-2024,26.4,74,,8.4,3,S 
14-01-2024,26.8,71,0,9.9,2,S 
15-01-2024,25.9,80,0,6.6,2,C 
16-01-2024,26.6,76,19,5.3,2,S 
17-01-2024,24.9,88,0,5.3,1,C 
