Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,26.5,66,,10.1,1,SW
02-11-2023,26.8,66,,9.5,2,S 
03-11-2023,25.3,74,,9.8,1,SW
04-11-2023,24.8,81,,8.1,1,S 
05-11-2023,26,69,,4.8,1,SW
06-11-2023,26.5,70,,8.6,2,S 
07-11-2023,26.2,67,,8.3,2,W 
08-11-2023,27.6,62,,9.5,1,E 
09-11-2023,26.1,76,,10.5,1,SW
10-11-2023,26.1,76,,6.7,1,W 
11-11-2023,26.1,78,,3.1,1,E 
12-11-2023,26,76,10,6,1,SW
13-11-2023,26.3,74,2.5,9.2,1,SW
14-11-2023,26.6,77,,9.3,1,SW
15-11-2023,26,76,,7.3,1,SW
16-11-2023,25.9,78,,4.2,1,NW
17-11-2023,26,72,,4.5,1,SW
18-11-2023,26,73,,8,1,NW
19-11-2023,26.1,72,,7.6,1,C 
20-11-2023,26.8,73,,5.4,1,S 
21-11-2023,27,69,,9.8,2,S 
22-11-2023,28,69,,6.2,1,E 
23-11-2023,26.1,76,,10.1,2,SW
24-11-2023,25.2,78,1,3,2,S 
25-11-2023,23.8,82,15.5,2.9,1,SW
26-11-2023,24.1,79,,2.9,1,SW
27-11-2023,23.8,86,16.5,5.9,1,SW
28-11-2023,23.5,86,13.2,1.9,1,C 
29-11-2023,25,80,6,2,1,W 
30-11-2023,24.4,88,,6.2,1,SW
01-12-2023,22.6,91,5,5.5,1,SW
02-12-2023,24.6,83,78,5,1,NW
03-12-2023,24.3,87,,3.8,1,SW
04-12-2023,24,85,,6.3,1,SW
05-12-2023,25.2,82,42.5,3.3,2,SW
06-12-2023,25.5,80,0.5,5,1,SW
07-12-2023,25,81,,4,1,SE
08-12-2023,23.8,89,,0,1,S 
09-12-2023,24.8,82,1.3,3,1,SW
10-12-2023,23.3,87,5,6.5,1,W 
11-12-2023,25.2,75,38,1.5,1,SW
12-12-2023,25.7,76,,6.5,1,W 
13-12-2023,24.8,81,,6.2,1,S 
14-12-2023,24.4,82,0.2,3.7,1,SW
15-12-2023,24.8,72,9,4,1,SW
16-12-2023,25.5,72,,6.5,1,W 
17-12-2023,25.6,77,,7.6,1,SW
18-12-2023,24.9,73,,7.5,1,SW
19-12-2023,25.2,68,,6.9,2,SW
20-12-2023,25.1,70,,9.2,1,S 
21-12-2023,25.5,74,,10.3,1,SW
22-12-2023,25.9,76,,9,1,SW
23-12-2023,25.6,70,,7,1,SW
24-12-2023,26.2,74,,4,1,C 
25-12-2023,23.8,87,,8.4,1,SW
26-12-2023,24.6,85,29,3,1,SW
27-12-2023,24.9,81,2.7,3.3,1,SW
28-12-2023,25.5,82,20,5.6,1,SW
29-12-2023,26.2,84,,7.8,1,SW
30-12-2023,25,87,4,8.5,1,W 
31-12-2023,25.4,80,35,3.7,1,SW
01-01-2024,25.8,86,,7,1,S 
02-01-2024,24.7,88,,6,1,SW
03-01-2024,23.5,88,19,2.3,1,SW
04-01-2024,24,85,18,3.6,1,SW
05-01-2024,23.2,87,66,6.2,1,S 
06-01-2024,23.8,88,13.5,3.6,1,SW
07-01-2024,23.4,89,0.5,1.1,1,SW
08-01-2024,23,89,1.5,0.7,1,SW
09-01-2024,23.5,87,23,2.4,1,W 
10-01-2024,24.7,89,18,3.7,1,SW
11-01-2024,24.3,83,28.5,6,1,SW
12-01-2024,24.9,78,19,5.1,1,SW
13-01-2024,25.3,78,,7.6,1,C 
14-01-2024,25.2,83,,6.2,1,W 
15-01-2024,23.3,88,,4.7,1,W 
16-01-2024,24.6,87,56.5,2.1,1,SW
17-01-2024,24,86,,4.4,2,NW
18-01-2024,23.7,91,7.5,1,1,SE
19-01-2024,23.1,91,8.2,3.4,1,S 
20-01-2024,25.9,70,3,0.9,2,E 
21-01-2024,24.4,82,,8.7,1,NW
22-01-2024,25.3,77,2,5,1,SW
23-01-2024,24.3,85,,8.2,1,W 
24-01-2024,23.9,84,,1.3,1,W 
25-01-2024,24.1,82,,2.4,2,W 
26-01-2024,24.2,86,57,8.5,1,NW
27-01-2024,23.8,89,12.5,7.3,1,NW
28-01-2024,23.3,93,22.5,7.1,1,C 
29-01-2024,23,93,21.5,4.1,1,W 
30-01-2024,23.4,89,44,1.8,1,W 
31-01-2024,23.3,93,10,3.5,1,W 
01-02-2024,24.1,88,,2.2,1,C 
02-02-2024,23.5,89,7.5,6.6,1,W 
03-02-2024,23,92,5,2.8,1,C 
04-02-2024,22.7,91,39,0,1,W 
05-02-2024,24.1,90,82.4,2.1,1,C 
06-02-2024,24.7,84,0,4,1,NW
07-02-2024,24.1,84,,2.3,1,SW
08-02-2024,23.5,85,4.5,0.8,1,SW
09-02-2024,24.1,88,1,3.2,1,SW
10-02-2024,22.7,92,9.5,3.9,1,W 
11-02-2024,22.9,88,53.5,1.1,1,W 
12-02-2024,23.9,88,38,4.1,1,W 
13-02-2024,24.9,87,41.5,5.3,1,C 
14-02-2024,24.9,86,6.4,5.2,1,W 
15-02-2024,25.2,84,,2.7,1,S 
16-02-2024,25,86,4.5,6.5,1,W 
17-02-2024,23.9,92,0.5,5.6,1,SW
18-02-2024,23.5,86,34.2,3.5,1,SW
19-02-2024,25.6,82,67.2,3.5,1,E 
20-02-2024,25.2,85,,9.7,1,SW
21-02-2024,24.3,86,6,4.3,1,SW
22-02-2024,25.8,82,14.5,4.6,1,W 
23-02-2024,25.3,80,0,9.7,1,E 
24-02-2024,24.7,82,,5.7,1,W 
25-02-2024,23.4,86,1,4.6,1,N 
26-02-2024,24.3,88,81.5,4.5,1,NW
27-02-2024,23.7,92,7,4.7,1,SW
28-02-2024,23.8,89,33,4.2,1,W 
29-02-2024,24.5,89,11,2.3,1,SW
01-03-2024,24.2,89,1,2.5,1,SW
02-03-2024,24,90,8.5,2.9,1,SW
03-03-2024,24,91,94,3.3,1,W 
04-03-2024,24.1,90,35,,1,SW
05-03-2024,24.2,93,5.5,2.6,1,S 
06-03-2024,25.5,84,30,,1,W 
07-03-2024,25.4,86,,4.5,1,W 
08-03-2024,24.4,88,,3,1,NW
09-03-2024,24,80,8,4,2,NW
10-03-2024,25.1,79,60.2,0,2,W 
11-03-2024,23.9,91,6.5,1,1,W 
12-03-2024,23.5,90,10,0.5,2,NW
13-03-2024,22.5,95,1,0,2,W 
14-03-2024,21.9,94,8.5,0,2,W 
15-03-2024,24.4,84,39.5,0,2,W 
16-03-2024,24.2,87,10.5,5,2,NW
17-03-2024,24.8,84,,6.5,2,W 
18-03-2024,24.5,82,0.5,5.7,2,SW
19-03-2024,25.4,70,,8.1,2,W 
20-03-2024,25.1,82,,9.7,1,N 
