Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,23,78,,6.1,0,C 
02-11-2023,25,67,,4,0,C 
03-11-2023,25.2,75,0,7.5,0,C 
04-11-2023,24,79,,4.5,1,C 
05-11-2023,24.4,70,14.5,1.5,1,C 
06-11-2023,,,,,0,C 
07-11-2023,26.3,62,,7,2,NE
08-11-2023,25.6,63,0,7.5,0,C 
09-11-2023,24.9,72,0,8.2,1,C 
10-11-2023,23.9,82,9.6,3,1,C 
11-11-2023,22,92,,1.5,0,C 
12-11-2023,25,68,,6.9,2,NE
13-11-2023,25.1,67,,4.8,0,C 
14-11-2023,25.1,73,,3.9,0,C 
15-11-2023,24.6,80,0,,3,NE
16-11-2023,22.4,84,8888,3.2,0,C 
17-11-2023,24.5,82,5.5,1.2,2,C 
18-11-2023,24.5,73,0.5,1.8,0,C 
19-11-2023,,,0,3.5,0,C 
20-11-2023,26.5,69,,4.5,1,C 
21-11-2023,23.4,84,,6,0,C 
22-11-2023,27.2,67,,8,1,C 
23-11-2023,26,77,,,0,C 
24-11-2023,24.2,81,5.1,4.2,0,C 
25-11-2023,22.6,83,8,1,0,C 
26-11-2023,,,,0.7,0,C 
27-11-2023,22.6,87,,3.1,0,C 
28-11-2023,22.3,92,56,1.5,2,C 
29-11-2023,24.3,82,10.2,0.5,0,C 
30-11-2023,24.3,83,,3.7,0,C 
01-12-2023,22.2,92,0.7,2.5,0,C 
02-12-2023,23.7,86,,0.2,0,C 
03-12-2023,24.3,83,0,1.5,0,C 
04-12-2023,24.7,82,,4.8,0,C 
05-12-2023,24.5,84,1,3.4,0,C 
06-12-2023,22,92,,4,0,C 
07-12-2023,24.5,82,,3.2,3,SE
08-12-2023,22.2,92,3,4.5,0,C 
09-12-2023,23,92,37.1,,0,C 
10-12-2023,21.8,94,0.5,0,0,C 
11-12-2023,,,,0,1,C 
12-12-2023,24,85,,1.3,0,C 
13-12-2023,23.9,84,8,,0,C 
14-12-2023,23.5,87,,1.2,0,C 
15-12-2023,22.7,87,5,2.4,0,C 
16-12-2023,20.8,95,7.6,3,0,C 
17-12-2023,24.4,82,,1.6,0,C 
18-12-2023,23.5,81,0,4,0,C 
19-12-2023,23.6,78,,1.5,0,C 
20-12-2023,23.3,78,,,0,C 
21-12-2023,20.8,83,,4,0,C 
22-12-2023,23.8,88,,2.5,0,C 
23-12-2023,24.5,80,0,,0,C 
24-12-2023,24.7,82,,3.5,1,C 
25-12-2023,22.8,89,0.1,1.5,0,C 
26-12-2023,20.2,96,1.5,0.5,0,C 
27-12-2023,24.6,83,1.8,3.1,1,C 
28-12-2023,24.5,86,1,,0,C 
29-12-2023,25.4,83,,5.2,0,C 
30-12-2023,25,87,,,0,C 
31-12-2023,22.6,94,1,1.8,0,C 
01-01-2024,25.2,84,1.8,3.6,1,C 
02-01-2024,24.5,88,9.5,4,0,C 
03-01-2024,23,93,31.4,2.4,0,C 
04-01-2024,24.6,84,2.5,1.8,1,C 
05-01-2024,,,0.9,5.7,0,C 
06-01-2024,22.4,94,41.2,1.3,0,C 
07-01-2024,23.3,89,53,0.5,0,C 
08-01-2024,23.4,89,8888,1.2,0,C 
09-01-2024,22.9,90,0.6,0.2,1,C 
10-01-2024,21,98,2,1.7,0,C 
11-01-2024,23.6,90,51.8,2.4,0,C 
12-01-2024,24,83,0,,0,C 
13-01-2024,24.7,81,,4.2,0,C 
14-01-2024,24.3,84,,4,1,C 
15-01-2024,20.8,96,,2.5,0,C 
16-01-2024,22.3,94,27.8,0,0,C 
17-01-2024,21.3,94,27,2.8,0,C 
18-01-2024,23.1,93,23.6,0,0,C 
19-01-2024,22,94,2.3,1,1,C 
20-01-2024,20.4,96,2.1,0.1,0,C 
21-01-2024,24.2,84,0.2,3.5,0,C 
22-01-2024,22.5,89,,4.2,0,C 
23-01-2024,23.2,85,12,1.8,0,C 
24-01-2024,23.8,85,0.3,,0,C 
25-01-2024,20.4,95,8888,0.3,0,C 
26-01-2024,23.6,88,17.2,3.1,2,C 
27-01-2024,23.2,89,15,5.8,0,C 
28-01-2024,22.3,91,8888,3.2,0,C 
29-01-2024,22.2,94,11.7,1,0,C 
30-01-2024,,,38.6,0.5,0,C 
31-01-2024,22.8,92,10.2,2.2,0,C 
01-02-2024,22.4,91,0,,0,C 
02-02-2024,22.6,93,0,1.6,0,C 
03-02-2024,21.8,95,21,,0,C 
04-02-2024,,,23.7,0,0,C 
05-02-2024,22.8,91,38.4,2.7,0,C 
06-02-2024,22.1,94,12.3,,0,C 
07-02-2024,23.1,92,16.5,1.2,0,C 
08-02-2024,22.7,90,8888,1.1,0,C 
09-02-2024,,,,2,0,C 
10-02-2024,21.7,97,41.2,2.4,0,C 
11-02-2024,22.4,92,0,0,0,C 
12-02-2024,22.1,94,24,3.2,0,C 
13-02-2024,23.3,93,59.2,3.2,0,C 
14-02-2024,21.6,98,2.7,0.8,0,C 
15-02-2024,23.5,92,1.1,0.2,2,NE
16-02-2024,20.2,98,29.4,2,1,C 
17-02-2024,22.8,94,,5.5,0,C 
18-02-2024,22.2,94,5.5,2.4,0,C 
19-02-2024,20.6,96,38.2,1,0,C 
20-02-2024,24.1,88,8888,2.2,0,C 
21-02-2024,25.1,84,0,,0,C 
22-02-2024,23.2,92,24.5,2.4,0,C 
23-02-2024,23.8,89,9.5,3,0,C 
24-02-2024,20.8,95,,4.8,0,C 
25-02-2024,22.5,92,,6.5,2,C 
26-02-2024,22.9,88,64,2,0,C 
27-02-2024,23.4,92,39,2.8,0,C 
28-02-2024,23.1,91,3.8,1.1,0,C 
29-02-2024,,,,0.3,0,C 
01-03-2024,24.5,88,1.6,,0,C 
02-03-2024,23.8,90,0,,0,C 
03-03-2024,23.2,92,8.5,3.5,0,C 
04-03-2024,22.6,97,69.2,1,0,C 
05-03-2024,21.6,98,21.7,1.5,0,C 
06-03-2024,23.9,92,34.9,1.2,2,E 
07-03-2024,24.9,89,5.5,2.5,1,C 
08-03-2024,24.5,88,,2.4,2,C 
09-03-2024,22.2,92,13,3.1,0,C 
10-03-2024,22,93,140.7,0.2,0,C 
11-03-2024,23.3,90,1.4,0,1,C 
12-03-2024,24.1,76,8.7,0,3,E 
13-03-2024,21.8,90,3,0,5,W 
14-03-2024,21.7,94,64.6,0,2,C 
15-03-2024,24.5,84,38.6,0,0,C 
16-03-2024,23.9,88,3.1,,0,C 
17-03-2024,24.5,85,2.3,1.8,1,C 
18-03-2024,24.2,84,,,1,C 
19-03-2024,23.5,86,,1.5,0,C 
20-03-2024,23.7,87,0,3,1,C 
21-03-2024,22.5,93,2.4,3.2,0,C 
22-03-2024,22.3,92,32.3,2.2,0,C 
23-03-2024,23.6,90,16,3.2,0,C 
24-03-2024,24.2,87,5.5,1.7,0,C 
25-03-2024,20.4,96,5.5,5,0,C 
26-03-2024,23.6,83,,2.1,2,E 
27-03-2024,23.2,88,8888,4.5,0,C 
28-03-2024,23.1,91,,,0,C 
29-03-2024,23.4,90,1.5,2,0,C 
30-03-2024,23.5,90,7.3,2.3,0,C 
31-03-2024,25.6,84,,2.5,0,C 
01-04-2024,23.5,92,0,,0,C 
02-04-2024,24.2,91,71,1.8,0,C 
03-04-2024,25.4,83,8888,,1,C 
04-04-2024,22,92,,5.4,0,C 
05-04-2024,24,90,35,2.1,2,C 
06-04-2024,23.7,88,91.6,1.5,0,C 
07-04-2024,22.9,95,1.5,3.2,0,C 
08-04-2024,24.1,90,29.4,2.1,0,C 
09-04-2024,21.5,99,29,2.1,0,C 
10-04-2024,23,93,4.7,0,0,C 
11-04-2024,22.3,94,4.6,,0,C 
12-04-2024,24.8,86,,,0,C 
13-04-2024,24.5,83,2.5,2.7,1,C 
14-04-2024,23.2,88,,7.7,0,C 
15-04-2024,24.1,88,19.6,4.2,0,C 
16-04-2024,24.4,84,,6,0,C 
17-04-2024,23,94,4,6,0,C 
18-04-2024,24,86,20,2,0,C 
19-04-2024,22.5,89,0.4,3,0,C 
20-04-2024,25.7,79,,8.4,2,E 
21-04-2024,22.8,91,0,7.3,0,C 
22-04-2024,23.4,90,42,,0,C 
23-04-2024,23.9,90,2,1.4,0,C 
24-04-2024,21,98,29.7,3.4,0,C 
25-04-2024,22.3,96,,0.5,1,C 
26-04-2024,24.2,88,11.2,0,0,C 
27-04-2024,23.6,88,,,0,C 
28-04-2024,24.7,84,,8.2,1,C 
29-04-2024,21.4,96,1.5,6.5,1,C 
30-04-2024,25,79,0.2,6.1,2,C 
