Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,29.5,72,0,9.5,2,C 
02-11-2023,30.2,69,0,7.3,2,NE
03-11-2023,30.2,72,,9.7,2,C 
04-11-2023,29.4,74,0,9.3,2,NE
05-11-2023,29.5,74,1,8.3,3,E 
06-11-2023,29.8,69,0,10.3,3,SW
07-11-2023,29.7,69,0,10.2,3,NE
08-11-2023,29.6,70,0,10.3,2,C 
09-11-2023,30,70,,10.3,2,C 
10-11-2023,29.8,71,,7.2,2,SW
11-11-2023,30,70,0,5.8,2,SW
12-11-2023,30.3,66,0,9.6,2,C 
13-11-2023,30.1,72,0,9.1,2,C 
14-11-2023,29.9,76,8888,9.6,2,NE
15-11-2023,29.8,74,18,8.8,2,SW
16-11-2023,30.1,70,0,6.5,2,NW
17-11-2023,29.5,74,5.5,8.2,2,C 
18-11-2023,30.2,66,0,4.1,3,S 
19-11-2023,30.3,66,0,9.7,2,S 
20-11-2023,30.1,70,,9.7,3,SW
21-11-2023,30.1,71,2,10.4,3,SW
22-11-2023,30.7,71,0,10.3,2,E 
23-11-2023,29.9,73,0,1.2,2,C 
24-11-2023,29.9,74,,3.4,2,E 
25-11-2023,27.1,85,,6.8,2,C 
26-11-2023,28.5,76,1.5,1,3,SW
27-11-2023,29,76,32.5,7.2,2,C 
28-11-2023,28,79,0,7.6,1,S 
29-11-2023,29.3,76,,0,2,C 
30-11-2023,29.8,75,,6.3,2,S 
01-12-2023,27.3,83,15.5,8.9,2,C 
24-11-2023,29.9,74,,3.4,2,E 
25-11-2023,27.1,85,,6.8,2,C 
26-11-2023,28.5,76,1.5,1,3,SW
27-11-2023,29,76,32.5,7.2,2,C 
28-11-2023,28,79,0,7.6,1,S 
29-11-2023,29.3,76,,0,2,C 
30-11-2023,29.8,75,,6.3,2,S 
01-12-2023,27.3,83,15.5,8.9,2,C 
02-12-2023,28,80,8888,1.9,2,S 
03-12-2023,28.5,78,15.4,2.3,2,S 
04-12-2023,28.3,77,,0.5,2,C 
05-12-2023,29.1,77,,3.7,2,SW
06-12-2023,28.8,77,0,7.5,2,C 
07-12-2023,28.4,78,15,6.4,2,N 
08-12-2023,27.5,84,11.2,7,2,C 
09-12-2023,28.7,80,11.6,8,1,S 
10-12-2023,27.2,86,,2.6,2,SW
11-12-2023,29.2,71,6,1,2,SW
12-12-2023,29,75,0,10.2,2,C 
13-12-2023,29.1,76,2.2,8.2,2,C 
14-12-2023,28.9,78,0,7.4,2,C 
15-12-2023,29.6,70,0.8,8.3,2,SW
16-12-2023,29.4,72,0,10,2,SW
17-12-2023,29.9,70,0,9.5,2,SW
18-12-2023,29.6,69,0,9.6,2,S 
19-12-2023,29.1,66,,6.9,2,S 
20-12-2023,29.1,65,,6.4,2,SW
21-12-2023,29,69,0,10.6,2,SW
22-12-2023,29.7,68,0,10.8,2,S 
23-12-2023,29.6,71,0,10.5,2,C 
24-12-2023,29.7,74,,9.7,2,NE
25-12-2023,28.4,80,,9.9,2,W 
26-12-2023,28.2,80,0,1.2,2,C 
27-12-2023,29.6,77,10,5.5,1,C 
28-12-2023,29.5,78,8888,8.7,2,E 
29-12-2023,29.9,77,8888,5.6,2,S 
30-12-2023,29.2,81,6.7,10.2,2,SW
31-12-2023,29.8,77,5,9.1,2,SW
01-01-2024,30.1,76,0,9,2,C 
02-01-2024,30.2,77,0.7,5.6,2,NE
03-01-2024,26.4,92,14.2,8.3,1,C 
04-01-2024,28.6,80,7,0.3,2,SW
05-01-2024,28.5,78,8888,8,2,SW
06-01-2024,27.9,83,8888,4.9,2,C 
07-01-2024,27,90,11.3,0.3,1,C 
08-01-2024,27.7,88,9,0.2,1,C 
09-01-2024,28.1,82,0.4,1.1,2,C 
10-01-2024,28.4,85,8888,9,2,W 
11-01-2024,28.5,82,0,6.1,2,C 
12-01-2024,28.9,80,7.2,4.5,1,C 
