"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","31.5","66","0","8.6","1","C "
"02-11-2023","31.5","65","0","8.1","0","C "
"03-11-2023","31.5","63","0","8.6","1","C "
"04-11-2023","30.2","74","0","7","1","C "
"05-11-2023","29.7","75","8888","4.3","1","C "
"06-11-2023","31.5","67","8888","2.8","1","C "
"07-11-2023","31.4","68","8888","9","0","C "
"08-11-2023","31.6","67","0","6.9","1","C "
"09-11-2023","31.5","68","0","9.5","0","C "
"10-11-2023","30.7","69","8888","6.3","0","C "
"11-11-2023","29","76","0","6.2","1","C "
"12-11-2023","28.4","79","2.5","1.9","1","C "
"13-11-2023","30.3","73","7.5","5.5","1","C "
"14-11-2023","30","74","0","8.6","1","C "
"15-11-2023","29.4","73","8888","4.4","1","C "
"16-11-2023","30","71","8888","2.7","1","W "
"17-11-2023","29.4","76","8888","4.1","1","C "
"18-11-2023","30.9","63","13.6","4.1","2","SW"
"19-11-2023","31.6","58","0","8.5","2","S "
"20-11-2023","31.4","64","0","9.3","1","C "
"21-11-2023","30.8","66","0","7.4","1","S "
"22-11-2023","31.6","63","8888","3.9","1","S "
"23-11-2023","27.9","84","0","4.9","0","C "
"24-11-2023","28.6","83","7.7","0","1","C "
"25-11-2023","26.1","91","1.5","0.5","0","C "
"26-11-2023","27.3","83","23.5","0","0","C "
"27-11-2023","28","84","48.2","4.5","0","C "
"28-11-2023","28.8","81","1.5","0.4","1","C "
"29-11-2023","29.9","74","0","4.8","1","C "
"30-11-2023","28.3","82","8888","6","1","C "
"01-12-2023","25.5","93","45.7","4.3","0","C "
"02-12-2023","27.7","83","51.5","0","1","C "
"03-12-2023","28.5","81","24.2","5.1","0","C "
"04-12-2023","26.3","89","0.6","0.9","1","C "
"05-12-2023","28.5","80","15.5","0","1","C "
"06-12-2023","28.1","83","13.5","7","1","C "
"07-12-2023","30","78","0.3","5.4","0","C "
"08-12-2023","29.3","76","8888","5.2","1","C "
"09-12-2023","29.7","74","0","3.9","1","C "
"10-12-2023","27.4","84","0","4","1","C "
"11-12-2023","28.9","78","9","2.1","1","C "
"12-12-2023","29.5","68","5","6.3","0","C "
"13-12-2023","30.3","66","0","6.7","1","C "
"14-12-2023","28.8","72","0.2","9.9","1","S "
"15-12-2023","30.2","69","21.5","7.5","0","C "
"16-12-2023","29.2","79","0","6.7","1","C "
"17-12-2023","28.7","79","14.5","8.1","1","C "
"18-12-2023","29.2","76","53","8","1","C "
"19-12-2023","28.1","77","4","6.6","1","C "
"20-12-2023","28.5","74","22.8","3.8","1","C "
"21-12-2023","29.2","75","15.5","8.1","0","C "
"22-12-2023","30","71","0","7.6","0","C "
"23-12-2023","30.3","69","0","7.3","0","C "
"24-12-2023","30.1","72","0","7.8","1","C "
"25-12-2023","26.8","86","0","8.3","1","C "
"26-12-2023","27.2","84","43.9","4.4","0","C "
"27-12-2023","28.8","78","27.3","5.9","1","C "
"28-12-2023","29.2","78","8888","7.4","1","C "
"29-12-2023","29.2","82","0","7.2","0","C "
"30-12-2023","28.5","84","0","4.7","1","C "
"31-12-2023","28","87","3","5.1","0","C "
"01-01-2024","28.4","87","5.1","5.1","0","C "
"02-01-2024","28.5","89","18","4.7","0","C "
"03-01-2024","27.7","91","36.2","3.4","0","C "
"04-01-2024","26.3","94","8888","0","0","C "
"05-01-2024","28.1","83","3.5","0","1","C "
"06-01-2024","28","84","0.7","2.4","1","C "
"07-01-2024","27.3","87","12.7","5.8","1","C "
"08-01-2024","28","89","25.5","5.8","0","C "
"09-01-2024","28.2","86","6.5","4.4","0","C "
"10-01-2024","26.8","88","8888","4.5","1","C "
"11-01-2024","27","89","36.1","2.8","0","C "
"12-01-2024","28.8","81","13.8","3.5","1","C "
"13-01-2024","28.6","82","2.5","7.1","1","C "
"14-01-2024","28.6","81","35.5","6.3","1","C "
"15-01-2024","28.6","84","0","5.7","0","C "
"16-01-2024","28.2","86","0","2.1","1","C "
"17-01-2024","28","86","11","6.8","1","C "
"18-01-2024","28","87","8888","2.3","0","C "
"19-01-2024","26.7","91","32.5","0.6","1","C "
