"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","30.2","78","2.5","8.9","2","C "
"02-11-2023","30.8","77","0","6.4","1","C "
"03-11-2023","30.8","77","0","9","2","C "
"04-11-2023","28.9","83","0","8","2","S "
"05-11-2023","29.3","82","7.5","6.2","2","C "
"06-11-2023","30.3","79","0.2","3.4","2","C "
"07-11-2023","30.6","79","0","7.9","2","N "
"08-11-2023","30.8","78","0","8.5","2","C "
"09-11-2023","30.3","79","0","8","2","C "
"10-11-2023","29.6","82","0","8","2","C "
"11-11-2023","29.4","83","10.7","4.2","2","C "
"12-11-2023","30.2","80","0","4.1","1","C "
"13-11-2023","31.3","77","","8.6","2","C "
"14-11-2023","29.4","83","0","9","2","C "
"15-11-2023","29.9","82","31.2","6","1","C "
"16-11-2023","30","81","0","7.2","1","C "
"17-11-2023","30.3","82","29.5","8.8","2","C "
"18-11-2023","29.9","80","","6.7","1","C "
"19-11-2023","30.4","79","8888","7","2","S "
"20-11-2023","31.2","76","0","8.8","2","C "
"21-11-2023","30.4","80","0","6.6","2","C "
"22-11-2023","30.7","78","30.5","9.3","2","C "
"23-11-2023","29.6","84","","3.1","1","C "
"24-11-2023","28.6","86","0","0.5","1","C "
"25-11-2023","26.1","94","26","2","1","C "
"26-11-2023","29","84","35.5","","1","C "
"27-11-2023","28.3","86","12","6.2","1","C "
"28-11-2023","29.5","82","","0","2","NE"
"29-11-2023","29.3","84","0.2","2.5","2","NE"
"30-11-2023","28.4","87","18.3","8.4","1","C "
"01-12-2023","27.2","90","3","3.8","2","C "
"02-12-2023","29.5","84","1.5","0","2","C "
"03-12-2023","28.8","85","","6.8","2","S "
"04-12-2023","27","88","2.3","3.2","1","C "
"05-12-2023","29.7","81","8888","0","2","C "
"06-12-2023","29.7","81","0","7.3","2","C "
"07-12-2023","29.4","82","0","7.4","2","C "
"08-12-2023","29.8","81","0","1.5","2","C "
"09-12-2023","29.2","84","0","5.9","1","C "
"10-12-2023","29.1","85","0","0.6","2","C "
"11-12-2023","30.4","80","0","0","2","C "
"12-12-2023","30.3","78","0","9.2","2","C "
"13-12-2023","30.6","79","0","6","2","W "
"14-12-2023","30.9","77","0","8.5","2","C "
"15-12-2023","30.8","73","0","9.1","2","SW"
