"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","28.7","75","0.5","8.6","1","C "
"02-11-2023","29.4","74","0","5.8","1","C "
"03-11-2023","29.2","75","1","4.1","1","C "
"04-11-2023","27.8","79","0","5.9","1","C "
"05-11-2023","27.2","82","20.2","7.1","1","C "
"06-11-2023","28.2","79","2.8","1.7","0","C "
"07-11-2023","29.9","68","0.3","4.2","1","C "
"08-11-2023","29.5","72","0","9","1","C "
"09-11-2023","29.6","68","0","5.7","1","C "
"10-11-2023","30","67","0","7.3","1","C "
"11-11-2023","27.7","80","8888","5.3","1","C "
"12-11-2023","28.2","77","2.5","2.9","0","C "
"13-11-2023","29.7","74","0","5.1","1","C "
"14-11-2023","27.6","86","0","4","1","C "
"15-11-2023","28.4","82","13.2","1.6","1","C "
"16-11-2023","29.7","74","13.5","4.3","1","C "
"17-11-2023","29.9","73","0","7.9","1","C "
"18-11-2023","29.9","72","0","8.5","1","C "
"19-11-2023","29.9","70","0","3.5","1","C "
"20-11-2023","28.6","76","0.8","8","1","C "
"21-11-2023","29.6","74","0","3.5","1","C "
"22-11-2023","29.9","72","0.5","5.2","1","C "
"23-11-2023","29.5","74","0","4.4","1","C "
"24-11-2023","28.6","82","0","0","1","C "
"25-11-2023","24.6","96","7.2","1","0","C "
"26-11-2023","27.7","80","63.6","0","1","C "
"27-11-2023","26.5","87","0","5.4","1","C "
"28-11-2023","28.4","77","8888","0.5","1","C "
"29-11-2023","27.7","85","8.5","5.6","1","C "
"30-11-2023","27.7","85","3.6","3.5","1","C "
"01-12-2023","26.9","88","9.6","3.8","1","C "
"02-12-2023","28.2","80","18.9","0","1","C "
"03-12-2023","28.2","79","7","6.8","1","C "
"04-12-2023","26.9","88","3.3","3.9","0","C "
"05-12-2023","29.3","76","8888","0.1","1","C "
"06-12-2023","28.8","79","0","8.4","1","C "
"07-12-2023","28.8","76","0.7","5.6","1","C "
"08-12-2023","29.1","74","0","1.1","1","C "
"09-12-2023","29","76","0","6.1","1","C "
"10-12-2023","28.9","77","8888","4.9","1","C "
"11-12-2023","29.4","72","0","1.2","1","C "
"12-12-2023","29","69","0","6.8","1","C "
"13-12-2023","29","70","","7.3","1","C "
"14-12-2023","29.4","67","0","8.6","1","C "
"15-12-2023","29","67","0","10","1","C "
"16-12-2023","29.2","64","0","9.1","1","C "
"17-12-2023","29.2","68","0","10.6","1","C "
"18-12-2023","29.2","66","0","8.7","1","C "
"19-12-2023","28.3","64","0","9.1","1","C "
"20-12-2023","28.2","58","0","8.4","2","C "
"21-12-2023","28.6","61","0","11.4","1","C "
"22-12-2023","29.2","64","0","7.8","1","C "
"23-12-2023","30.1","66","0","4.9","1","C "
"24-12-2023","29.5","74","0","7.5","1","C "
"25-12-2023","28.4","77","1.7","7.6","1","C "
"26-12-2023","28.3","81","5.4","4.3","1","C "
"27-12-2023","27.3","86","0.8","0.1","0","C "
"28-12-2023","29.2","76","12.9","1.5","0","C "
"29-12-2023","27.7","86","0","5.7","0","C "
"30-12-2023","28.7","80","17.5","1.6","1","C "
"31-12-2023","27.4","88","0","3.5","1","C "
"01-01-2024","28.5","82","39.5","4.3","1","C "
"02-01-2024","28.5","82","0","0","1","C "
"03-01-2024","27.4","87","0","1","1","C "
"04-01-2024","26.5","90","4.8","0","1","C "
"05-01-2024","27.7","85","35.7","0","1","C "
"06-01-2024","28.7","80","0.5","6.1","1","C "
"07-01-2024","26.6","87","0","4","1","C "
"08-01-2024","27.1","86","35.8","3.3","0","C "
"09-01-2024","28.2","78","0","0","1","C "
"10-01-2024","27.7","83","0","1.8","1","W "
"11-01-2024","27.1","86","11.2","3.2","2","C "
"12-01-2024","26.8","82","8.3","2.3","1","C "
"13-01-2024","28.4","77","0.5","0.6","2","W "
"14-01-2024","28.1","84","0","6.7","1","C "
"15-01-2024","28.4","80","6.4","4.6","1","C "
"16-01-2024","28.3","80","60.7","5","1","C "
"17-01-2024","27.6","86","1.1","6.6","1","C "
"18-01-2024","27","86","6.8","2.1","2","C "
"19-01-2024","25.5","90","49.5","0.5","2","W "
"20-01-2024","28.7","77","16.9","0","3","W "
"21-01-2024","26.7","88","12.2","9.4","2","W "
"22-01-2024","29.1","74","21.7","3.4","3","W "
"23-01-2024","28.4","80","2","8.6","2","W "
"24-01-2024","27.2","83","3.5","6.7","2","W "
"25-01-2024","28.9","76","1","2.4","2","W "
"26-01-2024","28.8","80","8888","8.2","1","C "
"27-01-2024","25.9","95","6.1","6.7","0","C "
"28-01-2024","27.4","84","8.7","0","1","C "
"29-01-2024","27.5","88","8","6.6","1","C "
"30-01-2024","27.5","84","18.4","1.4","2","NW"
"31-01-2024","27.6","85","8.7","3.9","1","C "
"01-02-2024","27.1","90","0","2","1","C "
"02-02-2024","28.8","78","11.7","1.1","2","W "
"03-02-2024","25.8","93","3.6","8.5","1","C "
"04-02-2024","27.5","85","15.4","0","1","C "
"05-02-2024","27.2","88","8888","3.2","1","C "
"06-02-2024","25.6","91","4.1","2.3","1","C "
"07-02-2024","27.3","83","5.8","0","1","C "
"08-02-2024","28.7","77","9.9","5.7","1","C "
