Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,30.9,74,0,7.8,2,S 
02-11-2023,31.5,66,0,8.7,1,S 
03-11-2023,31.1,70,0,9.6,2,SW
04-11-2023,30.8,71,0,6.8,2,S 
05-11-2023,31,72,0,6.4,2,SW
06-11-2023,30.5,72,0,7.4,2,SW
07-11-2023,29.6,74,0,9.1,1,W 
08-11-2023,30,75,0,6.6,2,W 
09-11-2023,30,77,8888,9.2,1,S 
10-11-2023,30.5,70,0,6.7,2,S 
11-11-2023,29.6,77,0,8.1,2,SW
12-11-2023,28.2,83,1.5,7.1,2,SW
13-11-2023,28.9,84,12,2.2,0,C 
14-11-2023,29.7,80,4.5,3.6,1,S 
15-11-2023,29.6,80,1.1,3.4,3,S 
16-11-2023,28.9,84,57,5.5,1,SW
17-11-2023,30,73,0,5.2,2,S 
18-11-2023,29.4,74,0,8.1,2,S 
19-11-2023,29.1,76,22,7.8,4,SW
20-11-2023,28.7,81,0,9.1,2,S 
21-11-2023,29.9,77,7.6,6.4,2,SW
22-11-2023,30.1,78,0,6.1,3,SW
23-11-2023,29.9,82,0,7.8,1,W 
24-11-2023,28.9,82,0.4,0.1,2,S 
25-11-2023,29.2,80,0,3.4,2,SW
26-11-2023,29.5,76,0,2.8,3,SW
27-11-2023,29.5,75,0,7.3,2,S 
28-11-2023,26.8,91,8888,6.2,1,W 
29-11-2023,28,85,53.1,1.7,2,S 
30-11-2023,28.4,84,21,2.3,2,SW
01-12-2023,26.4,90,16,3.4,2,SW
02-12-2023,27.9,83,1,0.1,3,SW
03-12-2023,28.1,85,0,3.5,3,S 
04-12-2023,28.8,83,2.8,4.2,2,S 
05-12-2023,27.3,90,4.1,2.7,2,S 
06-12-2023,29.7,78,0.1,2.1,2,NE
07-12-2023,29.4,79,0,9,2,S 
08-12-2023,29.8,78,0,8.4,3,S 
09-12-2023,29.7,75,0,7.9,3,SW
10-12-2023,27,92,0.6,8.1,2,SW
11-12-2023,29.1,78,1,0.3,2,S 
12-12-2023,29.5,74,0,7.4,3,S 
13-12-2023,29.1,78,0,10,3,S 
14-12-2023,29.6,75,0.5,5.7,1,W 
15-12-2023,29.8,69,0,9.7,2,S 
16-12-2023,29.5,73,0,10,3,SW
17-12-2023,29.2,74,0,9.3,4,SW
18-12-2023,29.6,72,0,8.3,2,S 
19-12-2023,29.2,70,0,9,2,SW
20-12-2023,29,70,0,8.6,2,S 
21-12-2023,29.4,70,0,7.8,2,S 
22-12-2023,29.9,71,0,9.3,4,SW
23-12-2023,30.1,68,0,8.9,3,SW
24-12-2023,30.3,69,0,8.1,3,SW
25-12-2023,30.1,72,0,9.3,2,SW
26-12-2023,30.4,70,0,6.4,1,SW
27-12-2023,30.3,74,0,4,2,SW
28-12-2023,28.9,82,,4.5,1,C 
29-12-2023,29.7,81,14.3,3.4,1,S 
30-12-2023,29.5,82,4,4.3,3,SW
31-12-2023,29.3,84,6,4.8,3,SW
01-01-2024,30.5,78,,3.4,2,SW
02-01-2024,29.9,79,0.8,7.8,4,SW
03-01-2024,27.8,86,0,7.5,2,C 
04-01-2024,27.9,83,4.3,2.4,2,S 
05-01-2024,27.2,87,26.1,4.1,2,SW
06-01-2024,28.3,85,11.9,2.6,1,C 
07-01-2024,27.3,90,17.6,4.6,2,SE
08-01-2024,28.2,86,20.9,0.6,1,C 
09-01-2024,29.1,82,0.8,0.7,2,S 
10-01-2024,29,83,0,5,2,SW
11-01-2024,29.5,81,8.7,7.2,1,S 
12-01-2024,29.3,79,0,4.5,4,SW
13-01-2024,28.7,79,0,8.6,2,W 
14-01-2024,29.8,72,8888,5.7,3,SW
15-01-2024,29.6,77,0,8.2,2,S 
16-01-2024,29.9,77,0,3.4,2,SW
17-01-2024,27.9,86,0,7,2,S 
18-01-2024,25.1,96,39,0.3,2,W 
19-01-2024,25.9,92,102.7,0,2,W 
20-01-2024,28.6,81,29,1.3,4,SW
21-01-2024,26.9,90,30.9,7.3,3,SW
22-01-2024,29.1,81,24.5,0.2,1,W 
23-01-2024,27.2,86,40.1,7.4,2,SW
24-01-2024,28.5,83,0.6,2.8,2,W 
25-01-2024,29.9,76,3.5,5.3,2,SW
26-01-2024,29.4,78,0.2,8.4,2,W 
27-01-2024,28.5,84,0.8,6,3,SW
28-01-2024,27.9,89,39.5,6.2,2,SW
29-01-2024,27.6,87,54.5,6,1,C 
30-01-2024,29,83,4,4.1,2,E 
31-01-2024,27.6,86,0,4.1,2,SW
01-02-2024,29.8,77,37.7,3.8,2,S 
02-02-2024,27,85,0,7.8,3,W 
03-02-2024,28.1,85,0.5,1.8,2,SW
04-02-2024,27.8,88,5.5,3.8,2,S 
05-02-2024,29.1,80,42.4,2.8,2,SW
06-02-2024,27.1,89,5,7.7,1,SW
07-02-2024,27.6,83,0.7,0.1,2,SW
08-02-2024,28.8,80,1.3,4.7,0,C 
09-02-2024,29.6,78,0,1.9,2,SW
10-02-2024,26.9,91,2.8,9.9,2,SW
11-02-2024,29.4,78,10.5,0,2,SW
12-02-2024,29.3,78,0,7.2,1,C 
13-02-2024,29.9,77,0,8.2,1,S 
14-02-2024,29.5,83,0,8.5,2,S 
15-02-2024,30.3,79,4.5,5.4,2,S 
16-02-2024,30.9,75,0,7.4,2,S 
17-02-2024,30.4,78,0,9.1,2,SW
18-02-2024,30.6,75,0,9.2,2,SW
19-02-2024,28.6,86,0,9.1,1,C 
20-02-2024,29.8,82,9.5,5.3,2,S 
21-02-2024,30.4,81,1.5,6.1,1,S 
22-02-2024,30.9,70,0,8.9,2,SW
23-02-2024,29.5,79,0,10.1,2,SW
24-02-2024,28.1,85,0,5.3,2,W 
25-02-2024,27.3,88,7,6.1,2,SW
26-02-2024,29.2,81,13.9,4.8,1,C 
27-02-2024,29.2,82,0,4.6,1,C 
28-02-2024,28.2,85,0,2.7,2,C 
29-02-2024,28.8,85,6.4,5.6,1,S 
01-03-2024,28.7,84,3.2,4.3,1,SW
02-03-2024,28.3,86,0.8,3.6,2,SW
03-03-2024,28.5,86,6.5,3.4,1,S 
04-03-2024,29.6,80,1,5.5,3,SW
05-03-2024,29,83,0.2,7.6,2,S 
06-03-2024,28.5,87,5.5,6.8,1,C 
07-03-2024,29.6,84,7.5,3.3,1,C 
08-03-2024,29.1,84,8888,3.3,2,C 
09-03-2024,25.2,95,48,4.9,2,SW
10-03-2024,27.5,87,17.2,0,1,SW
11-03-2024,28.5,86,0,0.2,2,E 
12-03-2024,30.7,75,8888,2.1,2,N 
13-03-2024,29.5,83,0,5.9,1,C 
14-03-2024,28,88,0,2.8,2,S 
15-03-2024,29.1,81,29.2,2.1,2,SW
16-03-2024,29.3,75,3.1,7,4,SW
17-03-2024,28.3,82,0.4,9.3,3,SW
18-03-2024,29.5,74,0,6.6,1,W 
19-03-2024,29.6,77,0,8.6,3,SW
20-03-2024,29.8,75,0,10,2,SW
21-03-2024,29.3,81,0,10,2,S 
22-03-2024,29.6,80,0,4.6,2,C 
23-03-2024,30,78,0,8.5,2,SW
24-03-2024,29.9,78,0,9.3,3,SW
25-03-2024,28.5,83,5.8,8,0,C 
26-03-2024,28.7,85,0,2,1,C 
27-03-2024,28.1,82,6.3,4.8,1,S 
28-03-2024,27.2,88,0,4.3,1,C 
29-03-2024,29.7,82,5.6,3.5,1,C 
30-03-2024,30.3,81,0.4,8.2,1,S 
31-03-2024,28.8,84,0.8,9.2,2,S 
01-04-2024,27.6,90,2.2,4.9,2,S 
02-04-2024,28.7,88,5.5,1.6,2,S 
03-04-2024,29.9,83,3.8,6.2,2,S 
04-04-2024,30.1,82,0,8.3,2,S 
05-04-2024,29.5,82,0,8.9,2,S 
06-04-2024,30.2,72,0,7.5,3,SW
07-04-2024,29.9,76,0,9.1,3,SW
08-04-2024,29.2,82,3.8,7.6,2,SW
09-04-2024,27.9,87,8888,6.8,1,C 
10-04-2024,28.4,85,8888,1.2,3,SW
11-04-2024,28.8,84,2.3,3.9,1,C 
12-04-2024,29.1,84,0,5.1,0,C 
13-04-2024,29.4,83,0,1.6,3,SW
14-04-2024,29.2,84,1,8.1,1,S 
15-04-2024,29.9,79,0.8,6,3,SW
16-04-2024,30.8,78,0.7,7.8,2,C 
17-04-2024,29.8,79,1,9,1,C 
18-04-2024,28,85,0,4.2,1,S 
19-04-2024,28.9,82,4.9,3.8,2,SW
20-04-2024,28.8,85,6.3,7.4,2,SW
21-04-2024,28.6,87,22,6.2,2,SW
22-04-2024,29.5,82,17.8,5.4,2,C 
23-04-2024,27.4,90,1,6.1,2,C 
