"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","31.5","68","","7.4","2","C "
"02-11-2023","31.9","67","","5.7","2","N "
"03-11-2023","31.6","66","","6.5","2","S "
"04-11-2023","31.3","70","","5.3","2","N "
"05-11-2023","28.5","83","35.5","2.5","1","C "
"06-11-2023","31.2","70","27.5","2.1","2","N "
"07-11-2023","31.8","68","","7","2","N "
"08-11-2023","31.9","69","","7.2","1","C "
"09-11-2023","31.9","68","","7.2","1","C "
"10-11-2023","31.3","71","","4.8","2","N "
"11-11-2023","30.7","73","18","3.6","2","NE"
"12-11-2023","31.1","68","8888","4.5","1","C "
"13-11-2023","32.6","64","","6.5","2","E "
"14-11-2023","31.1","72","","6.8","2","C "
"15-11-2023","30.2","75","13.8","5.2","1","C "
"16-11-2023","31.8","68","1.2","3.1","2","S "
"17-11-2023","31.6","72","","7.4","1","C "
"18-11-2023","30.8","72","1.5","5.1","1","NW"
"19-11-2023","32","70","2.5","4.9","2","S "
"20-11-2023","31.5","69","18.2","8.6","2","NW"
"21-11-2023","32.3","68","","8.4","2","S "
"22-11-2023","31.7","67","1","6.2","2","S "
"23-11-2023","29.5","77","","5","2","S "
"24-11-2023","29.8","80","1.8","0","2","N "
"25-11-2023","25.9","93","20.5","2.4","1","C "
"26-11-2023","30.1","73","32","0","2","S "
"27-11-2023","28.1","83","","6.2","1","NE"
"28-11-2023","30.3","73","10","0.4","2","SW"
"29-11-2023","31.4","70","","3.4","2","N "
"30-11-2023","28.5","83","43.4","7","1","C "
"01-12-2023","27.1","88","1.4","2.7","1","C "
"02-12-2023","30.3","74","0.1","0","1","S "
"03-12-2023","29.3","77","1.3","4.1","1","C "
"04-12-2023","26.8","91","38.4","2.7","0","C "
"05-12-2023","30.3","73","1","0","1","C "
"06-12-2023","29.9","74","","5.4","1","C "
"07-12-2023","30.3","77","1.8","6.3","1","C "
"08-12-2023","28.7","84","","2.5","1","W "
"09-12-2023","29.6","78","71.5","5.1","1","C "
"10-12-2023","29.6","78","16.8","1.3","1","C "
"11-12-2023","31.2","70","","0","2","NE"
"12-12-2023","30.9","74","","6.5","2","S "
"13-12-2023","31.3","69","3.4","4.5","1","C "
"14-12-2023","32.2","64","","8.6","2","W "
"15-12-2023","32.1","64","","8.7","1","C "
"16-12-2023","31.9","62","","8.4","2","NW"
"17-12-2023","32","63","","9.6","2","NW"
"18-12-2023","32.5","61","","10","2","W "
"19-12-2023","32.3","58","","10.1","2","SW"
"20-12-2023","32.3","51","","9.2","2","W "
"21-12-2023","31.4","57","","10.7","1","C "
"22-12-2023","31.5","62","","9.9","1","S "
"23-12-2023","32.4","62","","5.3","1","S "
"24-12-2023","31.8","68","1.3","4.4","2","N "
"25-12-2023","28.4","84","2.6","4.7","1","NE"
"26-12-2023","29.1","81","55.3","1.6","1","S "
"27-12-2023","29.7","79","","0","1","C "
"28-12-2023","30.8","74","10.5","3.9","2","NE"
"29-12-2023","29.7","80","","8","1","C "
"30-12-2023","29.2","82","8.9","1.6","1","C "
"31-12-2023","29.6","78","7.2","1.9","1","C "
"01-01-2024","30.2","78","21","6.6","1","C "
"02-01-2024","30.5","77","","0.7","1","C "
"03-01-2024","27.9","86","10.7","1","1","C "
"04-01-2024","27","88","4.6","0.1","1","C "
"05-01-2024","28.5","81","53.8","0","1","C "
"06-01-2024","27.7","84","13.2","4.8","1","C "
"07-01-2024","27.3","86","75.2","4.4","1","SW"
"08-01-2024","29","78","7","4.2","1","C "
"09-01-2024","30.3","73","8888","4.4","2","W "
"10-01-2024","28.9","81","0.3","5.4","2","SW"
"11-01-2024","28.6","81","8888","4.9","1","W "
"12-01-2024","28.8","79","3.6","4.2","2","W "
"13-01-2024","28.6","81","","3","1","C "
"14-01-2024","29","83","46","1.2","2","C "
"15-01-2024","30.1","76","5.7","5.9","2","NW"
"16-01-2024","30.8","67","8888","4.3","3","W "
"17-01-2024","28.2","87","","7.2","2","W "
"18-01-2024","28.6","79","16.5","2.8","3","W "
"19-01-2024","25.2","93","17.9","1.8","2","W "
"20-01-2024","31","68","16.3","0","4","W "
"21-01-2024","28.7","80","","10.6","3","W "
"22-01-2024","31","70","3.5","4.9","3","W "
"23-01-2024","30.4","73","","8.3","3","W "
"24-01-2024","29.9","73","","4.2","4","W "
"25-01-2024","31.1","72","","6.9","3","W "
"26-01-2024","30.5","73","","9.5","2","NW"
"27-01-2024","25.8","93","6.8","6.5","1","C "
"28-01-2024","28.2","87","44.1","0.4","1","C "
"29-01-2024","27.8","87","10","1.5","1","NW"
"30-01-2024","27.6","86","20.8","1.8","2","NW"
"31-01-2024","28.2","84","53.5","2.2","1","W "
"01-02-2024","29.1","82","","0.2","3","SW"
"02-02-2024","30.8","76","2","4.9","2","W "
"03-02-2024","28.1","84","0.6","9","2","SW"
"04-02-2024","28.7","82","","0.5","3","SW"
"05-02-2024","28.4","85","4.1","5.8","1","W "
"06-02-2024","26.5","90","32.8","3.6","2","W "
"07-02-2024","29.1","80","11.2","0.9","2","W "
"08-02-2024","30.5","75","","4.5","2","N "
"09-02-2024","30","81","","8.8","2","NW"
"10-02-2024","28.7","84","12.8","5","2","C "
"11-02-2024","29.9","79","0.1","4","3","NW"
"12-02-2024","29.6","79","13.3","6.6","2","NW"
"13-02-2024","30.1","78","2.3","5.5","2","NW"
"14-02-2024","28","87","105.6","6.3","1","C "
"15-02-2024","29.5","85","0.5","3.2","2","W "
"16-02-2024","28.8","87","","0.3","2","N "
"17-02-2024","28.7","85","","0","3","NW"
"18-02-2024","29.5","82","0.9","6.1","1","C "
"19-02-2024","29.6","84","8888","4.2","1","C "
"20-02-2024","31","78","5.6","1.3","2","N "
"21-02-2024","29.7","84","","8.8","2","C "
"22-02-2024","31.8","75","2.8","0.2","2","W "
"23-02-2024","31.3","75","8888","8.7","2","W "
"24-02-2024","30.3","81","","4.2","2","NW"
"25-02-2024","29.3","82","0.2","3.2","2","SW"
"26-02-2024","29.4","80","5.8","0.4","2","N "
"27-02-2024","30.3","78","","0.8","2","NW"
"28-02-2024","28","88","2.2","4.1","1","C "
"29-02-2024","25.8","94","9.6","0.4","1","C "
"01-03-2024","29.8","82","21.9","0","2","NW"
"02-03-2024","28.2","90","42","7.4","1","N "
"03-03-2024","28.4","87","21.6","1.3","1","C "
"04-03-2024","29.8","80","8.8","2","2","SW"
"05-03-2024","30.9","76","8888","6.3","2","W "
"06-03-2024","30.6","79","8888","7.8","3","W "
"07-03-2024","31.2","76","8888","6.7","4","W "
