"Tanggal","Tavg","RH_avg","RR","ss","ff_avg","ddd_car"
"01-11-2023","28.6","71","0","8.1","2","SW"
"02-11-2023","29.3","70","0","6","2","SW"
"03-11-2023","28.9","72","0","8.2","2","S "
"04-11-2023","28","77","8888","5.4","2","S "
"05-11-2023","27.3","81","6","3.4","2","S "
"06-11-2023","28.9","75","0","1.7","2","SW"
"07-11-2023","29.6","71","0","7.2","2","SW"
"08-11-2023","29.4","72","0","7.2","2","SW"
"09-11-2023","29.1","71","0","7.9","2","SW"
"10-11-2023","28.9","75","0","4.7","2","SE"
"11-11-2023","28.5","76","3.4","4","2","SW"
"12-11-2023","28.3","75","0","3.9","2","S "
"13-11-2023","29.7","71","11.5","6.4","2","S "
"14-11-2023","28.8","76","","8.2","2","SW"
"15-11-2023","28.5","75","3.6","6","2","S "
"16-11-2023","29.5","69","0","4.7","2","S "
"17-11-2023","29.6","73","8888","9.9","2","S "
"18-11-2023","28.6","74","0","6.7","2","S "
"19-11-2023","29.4","74","","4.8","2","S "
"20-11-2023","29.2","72","10.8","8.2","2","SW"
"21-11-2023","29.1","74","0","5.8","2","S "
"22-11-2023","29.6","72","26.4","5","2","SW"
"23-11-2023","28","79","0","3.8","2","SW"
"24-11-2023","28","82","","2.8","2","SW"
"25-11-2023","25","95","3.4","2.2","2","SW"
"26-11-2023","28.5","75","48","0.3","2","SW"
"27-11-2023","27.1","82","0","6.6","2","SW"
"28-11-2023","28.3","78","0","1.7","2","W "
"29-11-2023","28.1","80","27","5.3","2","S "
"30-11-2023","27.1","84","39.9","7.7","2","S "
"01-12-2023","26.3","89","1.5","3.5","2","E "
"02-12-2023","28.2","77","2.1","0","2","S "
"03-12-2023","27.6","80","0","6.9","2","S "
"04-12-2023","25.9","89","1.5","1.9","2","S "
"05-12-2023","28.4","76","0","0.1","2","E "
"06-12-2023","28.4","77","0","8.5","2","S "
"07-12-2023","28.5","79","0","7.7","2","SW"
"08-12-2023","28.4","79","0","1.9","2","SW"
"09-12-2023","28.2","79","8888","4.7","2","S "
"10-12-2023","28.4","78","0","2.6","2","S "
"11-12-2023","29","73","0","0.5","2","N "
"12-12-2023","28.7","74","0","8.9","2","SW"
"13-12-2023","29.1","72","0","6.9","2","SW"
"14-12-2023","29.3","69","0","9.6","3","SW"
"15-12-2023","29.2","68","0","9.4","2","SW"
"16-12-2023","29.2","66","0","9.5","3","SW"
"17-12-2023","29.2","69","0","10.4","3","SW"
"18-12-2023","29.5","67","0","10.4","3","SW"
"19-12-2023","28.8","61","0","10.3","3","SW"
"20-12-2023","28.7","57","0","8.4","3","SW"
"21-12-2023","28.6","63","0","11.3","2","SW"
"22-12-2023","28.5","68","0","9.4","2","W "
"23-12-2023","29.5","67","0","5.3","2","SW"
"24-12-2023","29.7","70","0","4","3","S "
"25-12-2023","27.4","82","0","5.8","1","SW"
"26-12-2023","27.5","80","4.7","1","2","S "
"27-12-2023","27.9","81","0","0","2","SW"
"28-12-2023","28.9","77","1.8","4.7","2","SW"
"29-12-2023","28.1","80","0","7.5","2","S "
"30-12-2023","27.9","82","9.6","2.4","2","S "
"31-12-2023","27.6","82","0","1.9","2","W "
"01-01-2024","28.7","80","1.8","6.3","2","SW"
"02-01-2024","28.8","81","0","1.3","2","SW"
"03-01-2024","27.1","87","0.8","1.1","2","W "
"04-01-2024","26.1","88","2","0","2","W "
"05-01-2024","27.6","80","84.9","0","2","S "
